activity_date,gross_revenue_usd,refunds_usd,net_revenue_usd,shipped_revenue_usd,revenue_to_ship_gap_usd,ending_backlog_revenue_usd,orders,units_sold,units_shipped,average_order_value_usd,total_marketing_spend_usd,paid_search_spend_usd,paid_social_spend_usd,retargeting_spend_usd,email_spend_usd,marketing_efficiency_ratio,marketing_attributed_orders,affiliate_revenue_usd,affiliate_commission_usd,affiliate_orders,affiliate_revenue_share,net_revenue_yoy_pct,stockout_rate,event_name
2023-11-21,10607.25,434.42,10172.84,9005.54,1167.30,8559.98,118,153,132,89.89,1625.60,717.00,565.36,276.23,67.01,6.5251,106,2329.41,290.18,24,0.2196,,0.0730,holiday_peak
2023-11-22,10700.36,397.12,10303.25,8841.52,1461.73,10021.71,115,147,124,93.05,1653.60,754.67,571.88,264.81,62.24,6.4709,106,2104.15,263.59,22,0.1966,,0.0730,holiday_peak
2023-11-23,10994.53,404.18,10590.35,8677.39,1912.96,11934.67,119,157,123,92.39,1749.56,800.00,603.85,284.37,61.34,6.2842,109,2270.66,281.79,23,0.2065,,0.0730,holiday_peak
2023-11-24,11367.23,357.66,11009.57,8179.32,2830.25,14764.92,127,170,120,89.51,1598.70,747.05,538.55,254.31,58.79,7.1103,100,2230.29,278.34,23,0.1962,,0.0730,holiday_peak
2023-11-25,11801.35,474.55,11326.81,4591.86,6734.95,21499.87,129,166,66,91.48,1660.11,775.91,546.47,279.30,58.43,7.1088,103,2352.12,293.78,24,0.1993,,0.0730,holiday_peak
2023-11-26,10659.09,521.23,10137.86,3507.60,6630.26,28130.13,116,152,50,91.89,1685.09,765.48,595.11,258.30,66.20,6.3255,108,2061.05,253.95,22,0.1934,,0.0730,holiday_peak
2023-11-27,9785.48,509.50,9275.99,9022.34,253.65,28383.78,107,141,130,91.45,1703.99,788.28,569.75,284.94,61.02,5.7427,107,2204.93,272.87,23,0.2253,,0.0730,holiday_peak
2023-11-28,10234.98,539.58,9695.40,9025.14,670.26,29054.04,110,143,127,93.05,1630.88,720.96,560.72,285.12,64.08,6.2757,108,2226.03,272.47,23,0.2175,,0.0730,holiday_peak
2023-11-29,11106.89,521.59,10585.30,8860.75,1724.55,30778.59,126,167,132,88.15,1704.49,753.50,606.36,281.57,63.06,6.5163,110,2381.12,294.81,24,0.2144,,0.0730,holiday_peak
2023-11-30,10940.04,570.83,10369.21,8696.26,1672.95,32451.54,119,154,124,91.93,1591.30,758.43,520.12,248.88,63.87,6.8749,102,2132.71,262.38,22,0.1949,,0.0730,holiday_peak
2023-12-01,10806.70,506.40,10300.30,8197.10,2103.20,34554.74,116,155,115,93.16,1476.08,648.54,495.68,270.79,61.07,7.3212,91,2176.10,269.32,23,0.2014,,0.0730,holiday_peak
2023-12-02,11650.55,441.09,11209.46,4601.84,6607.62,41162.37,125,163,65,93.20,1584.50,686.87,564.53,271.41,61.69,7.3528,94,2029.43,251.76,21,0.1742,,0.0730,holiday_peak
2023-12-03,9979.06,488.54,9490.52,3515.22,5975.30,47137.67,106,140,49,94.14,1568.89,717.63,533.34,258.12,59.80,6.3606,96,2036.15,252.66,21,0.2040,,0.0730,holiday_peak
2023-12-04,9462.97,513.65,8949.32,9041.93,-92.61,47045.06,101,132,127,93.69,1554.73,713.24,527.27,252.10,62.12,6.0866,92,2104.72,258.54,22,0.2224,,0.0730,holiday_peak
2023-12-05,9538.65,496.18,9042.47,9044.73,-2.26,47042.80,103,134,128,92.61,1500.48,650.93,519.99,271.44,58.12,6.3571,94,2013.00,248.88,21,0.2110,,0.0730,holiday_peak
2023-12-06,10090.44,525.45,9564.99,8879.98,685.01,47727.80,112,147,129,90.09,1434.89,646.97,490.08,235.19,62.65,7.0322,91,2048.37,251.59,21,0.2030,,0.0730,holiday_peak
2023-12-07,10234.16,558.23,9675.93,8715.13,960.80,48688.59,112,144,125,91.38,1517.73,651.91,539.77,267.96,58.09,6.7431,94,2056.40,256.01,21,0.2009,,0.0730,holiday_peak
2023-12-08,11280.34,457.12,10823.23,8214.88,2608.35,51296.94,125,167,119,90.24,1591.41,735.27,530.36,260.57,65.21,7.0883,97,2137.59,263.71,22,0.1895,,0.0730,holiday_peak
2023-12-09,11415.92,444.37,10971.55,4611.82,6359.73,57656.68,123,163,65,92.81,1506.19,715.55,491.36,235.99,63.29,7.5793,89,2064.97,256.41,21,0.1809,,0.0730,holiday_peak
2023-12-10,10103.82,444.65,9659.17,3522.84,6136.33,63793.00,115,149,52,87.86,1547.11,681.79,548.80,253.14,63.38,6.5308,95,1999.77,247.72,21,0.1979,,0.0730,holiday_peak
2023-12-11,9513.35,452.93,9060.42,9061.53,-1.11,63791.89,102,136,127,93.27,1562.04,740.92,487.84,269.72,63.56,6.0903,97,1992.55,246.76,21,0.2094,,0.0730,holiday_peak
2023-12-12,9959.72,458.62,9501.10,9064.33,436.77,64228.66,107,139,128,93.08,1567.09,735.16,532.81,237.33,61.79,6.3556,96,2198.07,271.77,23,0.2207,,0.0730,holiday_peak
2023-12-13,10118.10,555.48,9562.62,8899.22,663.40,64892.07,114,147,131,88.76,1477.62,658.43,516.93,244.59,57.67,6.8476,90,2112.72,260.19,22,0.2088,,0.0730,holiday_peak
2023-12-14,10685.84,526.21,10159.63,8734.00,1425.63,66317.69,117,151,125,91.33,1542.58,723.57,505.05,249.10,64.86,6.9273,97,2236.48,277.18,23,0.2093,,0.0730,holiday_peak
2023-12-15,10969.33,460.22,10509.11,8232.66,2276.45,68594.14,117,154,115,93.75,1591.30,702.13,561.87,268.84,58.46,6.8933,98,2081.35,256.96,22,0.1897,,0.0730,holiday_peak
2023-12-16,11128.00,403.11,10724.88,4621.80,6103.08,74697.23,123,158,67,90.47,1512.53,666.61,522.87,267.14,55.91,7.3572,91,1827.57,225.86,19,0.1642,,0.0730,holiday_peak
2023-12-17,10064.28,473.34,9590.95,3530.46,6060.49,80757.72,109,145,50,92.33,1597.14,717.59,557.41,259.30,62.84,6.3014,98,2163.90,266.76,22,0.2150,,0.0730,holiday_peak
2023-12-18,9385.93,435.04,8950.90,9081.12,-130.22,80627.49,105,135,134,89.39,1576.59,709.13,543.94,263.43,60.09,5.9533,96,2040.80,252.95,21,0.2174,,0.0730,holiday_peak
2023-12-19,7537.26,400.79,7136.48,10093.25,-2956.77,77670.72,85,109,149,88.67,1190.81,532.55,410.34,197.18,50.74,6.3295,57,1611.92,199.90,17,0.2139,,0.0180,none
2023-12-20,7856.34,423.02,7433.32,9909.39,-2476.07,75194.65,85,109,141,92.43,1097.65,480.48,387.74,179.14,50.29,7.1574,56,1651.76,204.17,17,0.2102,,0.0180,none
2023-12-21,7985.64,401.90,7583.74,9725.41,-2141.67,73052.98,85,114,135,93.95,1134.46,501.84,406.09,179.33,47.20,7.0392,54,1658.59,205.66,17,0.2077,,0.0180,none
2023-12-22,8776.51,387.02,8389.48,9167.16,-777.68,72275.31,97,127,133,90.48,1181.13,534.65,415.51,179.91,51.06,7.4306,57,1635.46,203.12,17,0.1863,,0.0180,none
2023-12-23,8738.78,377.89,8360.89,5146.42,3214.47,75489.79,99,130,76,88.27,1127.39,483.70,405.85,183.35,54.49,7.7513,57,1631.78,202.63,17,0.1867,,0.0180,none
2023-12-24,7644.38,291.06,7353.32,3931.20,3422.12,78911.91,85,114,57,89.93,1156.15,554.34,362.43,190.18,49.20,6.6119,58,1664.80,206.09,17,0.2178,,0.0180,none
2023-12-25,7210.66,289.06,6921.60,10111.91,-3190.31,75721.60,78,102,143,92.44,1145.59,558.77,360.60,172.83,53.39,6.2943,58,1503.30,186.54,16,0.2085,,0.0180,none
2023-12-26,7403.28,290.99,7112.29,10115.02,-3002.73,72718.87,84,109,150,88.13,1154.68,514.99,389.05,199.08,51.56,6.4115,59,1554.04,191.17,16,0.2099,,0.0180,none
2023-12-27,7688.11,357.10,7331.01,9930.76,-2599.75,70119.12,87,117,147,88.37,1158.46,553.20,375.92,177.43,51.91,6.6365,59,1628.98,201.88,17,0.2119,,0.0180,none
2023-12-28,8076.03,319.61,7756.42,9746.38,-1989.96,68129.16,89,116,141,90.74,1173.71,518.13,408.34,196.48,50.76,6.8808,59,1607.16,199.30,17,0.1990,,0.0180,none
2023-12-29,8703.12,313.00,8390.12,9186.91,-796.79,67332.37,97,130,134,89.72,1185.47,516.89,415.57,199.58,53.43,7.3415,60,1713.04,210.71,18,0.1968,,0.0180,none
2023-12-30,8885.43,281.11,8604.32,5157.50,3446.82,70779.18,101,132,77,87.97,1138.37,488.22,414.35,186.35,49.45,7.8054,55,1607.86,199.23,17,0.1810,,0.0180,none
2023-12-31,7576.24,303.25,7272.99,3939.67,3333.32,74112.50,84,109,57,90.19,1124.53,534.90,360.99,176.39,52.25,6.7373,55,1669.57,207.57,17,0.2204,,0.0180,none
2024-01-01,7089.56,285.83,6803.72,10133.68,-3329.96,70782.54,75,98,141,94.53,1116.22,491.27,404.07,173.88,47.00,6.3514,55,1535.72,188.12,16,0.2166,,0.0180,none
2024-01-02,7441.02,297.06,7143.97,10136.79,-2992.82,67789.71,83,106,147,89.65,1142.88,487.89,414.12,190.14,50.73,6.5108,58,1625.33,201.80,17,0.2184,,0.0180,none
2024-01-03,7658.34,345.22,7313.12,9952.13,-2639.01,65150.71,85,113,145,90.10,1157.44,527.22,405.08,178.23,46.91,6.6166,57,1560.21,191.58,16,0.2037,,0.0180,none
