activity_date,partner,clicks,orders,revenue_usd,commission_usd,updated_at
2023-09-05,creator_collective,115,6,596.58,83.52,2026-08-20T09:00:00Z
2023-09-05,cashback_network,98,4,338.77,33.88,2026-08-20T09:00:00Z
2023-09-05,editorial_partner,73,3,318.68,38.24,2026-08-20T09:00:00Z
2023-09-06,creator_collective,115,6,595.13,83.32,2026-08-20T09:00:00Z
2023-09-06,cashback_network,122,5,431.25,43.13,2026-08-20T09:00:00Z
2023-09-06,editorial_partner,98,4,424.79,50.97,2026-08-20T09:00:00Z
2023-09-07,creator_collective,115,6,566.89,79.36,2026-08-20T09:00:00Z
2023-09-07,cashback_network,98,4,345.70,34.57,2026-08-20T09:00:00Z
2023-09-07,editorial_partner,98,4,432.07,51.85,2026-08-20T09:00:00Z
2023-09-08,creator_collective,135,7,660.11,92.41,2026-08-20T09:00:00Z
2023-09-08,cashback_network,122,5,431.32,43.13,2026-08-20T09:00:00Z
2023-09-08,editorial_partner,73,3,323.64,38.84,2026-08-20T09:00:00Z
2023-09-09,creator_collective,135,7,678.03,94.92,2026-08-20T09:00:00Z
2023-09-09,cashback_network,98,4,361.40,36.14,2026-08-20T09:00:00Z
2023-09-09,editorial_partner,73,3,319.27,38.31,2026-08-20T09:00:00Z
2023-09-10,creator_collective,135,7,673.48,94.29,2026-08-20T09:00:00Z
2023-09-10,cashback_network,122,5,441.26,44.13,2026-08-20T09:00:00Z
2023-09-10,editorial_partner,98,4,419.14,50.30,2026-08-20T09:00:00Z
2023-09-11,creator_collective,154,8,790.06,110.61,2026-08-20T09:00:00Z
2023-09-11,cashback_network,98,4,349.48,34.95,2026-08-20T09:00:00Z
2023-09-11,editorial_partner,73,3,330.10,39.61,2026-08-20T09:00:00Z
2023-09-12,creator_collective,135,7,657.09,91.99,2026-08-20T09:00:00Z
2023-09-12,cashback_network,98,4,343.30,34.33,2026-08-20T09:00:00Z
2023-09-12,editorial_partner,98,4,426.54,51.18,2026-08-20T09:00:00Z
2023-09-13,creator_collective,115,6,562.66,78.77,2026-08-20T09:00:00Z
2023-09-13,cashback_network,122,5,422.73,42.27,2026-08-20T09:00:00Z
2023-09-13,editorial_partner,98,4,415.73,49.89,2026-08-20T09:00:00Z
2023-09-14,creator_collective,154,8,758.19,106.15,2026-08-20T09:00:00Z
2023-09-14,cashback_network,122,5,444.14,44.41,2026-08-20T09:00:00Z
2023-09-14,editorial_partner,98,4,429.48,51.54,2026-08-20T09:00:00Z
2023-09-15,creator_collective,154,8,769.87,107.78,2026-08-20T09:00:00Z
2023-09-15,cashback_network,122,5,428.45,42.85,2026-08-20T09:00:00Z
2023-09-15,editorial_partner,98,4,418.16,50.18,2026-08-20T09:00:00Z
2023-09-16,creator_collective,154,8,781.72,109.44,2026-08-20T09:00:00Z
2023-09-16,cashback_network,122,5,424.99,42.50,2026-08-20T09:00:00Z
2023-09-16,editorial_partner,73,3,325.23,39.03,2026-08-20T09:00:00Z
2023-09-17,creator_collective,135,7,694.40,97.22,2026-08-20T09:00:00Z
2023-09-17,cashback_network,122,5,429.53,42.95,2026-08-20T09:00:00Z
2023-09-17,editorial_partner,73,3,328.13,39.38,2026-08-20T09:00:00Z
2023-09-18,creator_collective,115,6,556.02,77.84,2026-08-20T09:00:00Z
2023-09-18,cashback_network,122,5,445.11,44.51,2026-08-20T09:00:00Z
2023-09-18,editorial_partner,98,4,421.73,50.61,2026-08-20T09:00:00Z
2023-09-19,creator_collective,115,6,585.18,81.93,2026-08-20T09:00:00Z
2023-09-19,cashback_network,122,5,424.94,42.49,2026-08-20T09:00:00Z
2023-09-19,editorial_partner,98,4,433.08,51.97,2026-08-20T09:00:00Z
2023-09-20,creator_collective,135,7,672.51,94.15,2026-08-20T09:00:00Z
2023-09-20,cashback_network,98,4,344.95,34.49,2026-08-20T09:00:00Z
2023-09-20,editorial_partner,98,4,422.09,50.65,2026-08-20T09:00:00Z
2023-09-21,creator_collective,135,7,653.64,91.51,2026-08-20T09:00:00Z
2023-09-21,cashback_network,122,5,451.79,45.18,2026-08-20T09:00:00Z
2023-09-21,editorial_partner,73,3,325.56,39.07,2026-08-20T09:00:00Z
2023-09-22,creator_collective,154,8,744.51,104.23,2026-08-20T09:00:00Z
2023-09-22,cashback_network,122,5,428.63,42.86,2026-08-20T09:00:00Z
2023-09-22,editorial_partner,98,4,433.18,51.98,2026-08-20T09:00:00Z
2023-09-23,creator_collective,135,7,697.69,97.68,2026-08-20T09:00:00Z
2023-09-23,cashback_network,98,4,355.67,35.57,2026-08-20T09:00:00Z
2023-09-23,editorial_partner,98,4,426.09,51.13,2026-08-20T09:00:00Z
2023-09-24,creator_collective,135,7,650.30,91.04,2026-08-20T09:00:00Z
2023-09-24,cashback_network,98,4,349.61,34.96,2026-08-20T09:00:00Z
2023-09-24,editorial_partner,98,4,418.92,50.27,2026-08-20T09:00:00Z
2023-09-25,creator_collective,135,7,651.41,91.20,2026-08-20T09:00:00Z
2023-09-25,cashback_network,98,4,351.37,35.14,2026-08-20T09:00:00Z
2023-09-25,editorial_partner,73,3,319.46,38.34,2026-08-20T09:00:00Z
2023-09-26,creator_collective,135,7,659.04,92.27,2026-08-20T09:00:00Z
2023-09-26,cashback_network,122,5,445.39,44.54,2026-08-20T09:00:00Z
2023-09-26,editorial_partner,73,3,318.00,38.16,2026-08-20T09:00:00Z
2023-09-27,creator_collective,135,7,673.55,94.30,2026-08-20T09:00:00Z
2023-09-27,cashback_network,122,5,422.89,42.29,2026-08-20T09:00:00Z
2023-09-27,editorial_partner,73,3,331.30,39.76,2026-08-20T09:00:00Z
2023-09-28,creator_collective,135,7,655.93,91.83,2026-08-20T09:00:00Z
2023-09-28,cashback_network,122,5,451.95,45.20,2026-08-20T09:00:00Z
2023-09-28,editorial_partner,73,3,322.60,38.71,2026-08-20T09:00:00Z
2023-09-29,creator_collective,154,8,787.75,110.28,2026-08-20T09:00:00Z
2023-09-29,cashback_network,122,5,437.68,43.77,2026-08-20T09:00:00Z
2023-09-29,editorial_partner,73,3,325.80,39.10,2026-08-20T09:00:00Z
2023-09-30,creator_collective,135,7,646.11,90.46,2026-08-20T09:00:00Z
2023-09-30,cashback_network,122,5,442.72,44.27,2026-08-20T09:00:00Z
2023-09-30,editorial_partner,98,4,419.74,50.37,2026-08-20T09:00:00Z
2023-10-01,creator_collective,135,7,652.85,91.40,2026-08-20T09:00:00Z
2023-10-01,cashback_network,122,5,452.87,45.29,2026-08-20T09:00:00Z
2023-10-01,editorial_partner,98,4,431.57,51.79,2026-08-20T09:00:00Z
2023-10-02,creator_collective,135,7,662.62,92.77,2026-08-20T09:00:00Z
2023-10-02,cashback_network,122,5,439.22,43.92,2026-08-20T09:00:00Z
2023-10-02,editorial_partner,73,3,311.47,37.38,2026-08-20T09:00:00Z
2023-10-03,creator_collective,135,7,692.86,97.00,2026-08-20T09:00:00Z
2023-10-03,cashback_network,122,5,448.03,44.80,2026-08-20T09:00:00Z
2023-10-03,editorial_partner,73,3,331.53,39.78,2026-08-20T09:00:00Z
2023-10-04,creator_collective,154,8,748.45,104.78,2026-08-20T09:00:00Z
2023-10-04,cashback_network,122,5,442.74,44.27,2026-08-20T09:00:00Z
2023-10-04,editorial_partner,98,4,424.77,50.97,2026-08-20T09:00:00Z
2023-10-05,creator_collective,135,7,662.18,92.71,2026-08-20T09:00:00Z
2023-10-05,cashback_network,122,5,430.82,43.08,2026-08-20T09:00:00Z
2023-10-05,editorial_partner,98,4,434.01,52.08,2026-08-20T09:00:00Z
2023-10-06,creator_collective,135,7,682.40,95.54,2026-08-20T09:00:00Z
2023-10-06,cashback_network,122,5,449.17,44.92,2026-08-20T09:00:00Z
2023-10-06,editorial_partner,98,4,446.47,53.58,2026-08-20T09:00:00Z
2023-10-07,creator_collective,135,7,667.52,93.45,2026-08-20T09:00:00Z
2023-10-07,cashback_network,122,5,451.30,45.13,2026-08-20T09:00:00Z
2023-10-07,editorial_partner,98,4,422.59,50.71,2026-08-20T09:00:00Z
2023-10-08,creator_collective,135,7,664.05,92.97,2026-08-20T09:00:00Z
2023-10-08,cashback_network,122,5,448.42,44.84,2026-08-20T09:00:00Z
2023-10-08,editorial_partner,73,3,324.78,38.97,2026-08-20T09:00:00Z
2023-10-09,creator_collective,135,7,696.48,97.51,2026-08-20T09:00:00Z
2023-10-09,cashback_network,122,5,442.37,44.24,2026-08-20T09:00:00Z
2023-10-09,editorial_partner,98,4,424.64,50.96,2026-08-20T09:00:00Z
2023-10-10,creator_collective,135,7,697.88,97.70,2026-08-20T09:00:00Z
2023-10-10,cashback_network,122,5,434.31,43.43,2026-08-20T09:00:00Z
2023-10-10,editorial_partner,98,4,428.12,51.37,2026-08-20T09:00:00Z
2023-10-11,creator_collective,135,7,690.24,96.63,2026-08-20T09:00:00Z
2023-10-11,cashback_network,122,5,431.02,43.10,2026-08-20T09:00:00Z
2023-10-11,editorial_partner,98,4,432.85,51.94,2026-08-20T09:00:00Z
2023-10-12,creator_collective,154,8,789.04,110.47,2026-08-20T09:00:00Z
2023-10-12,cashback_network,122,5,449.27,44.93,2026-08-20T09:00:00Z
2023-10-12,editorial_partner,98,4,417.49,50.10,2026-08-20T09:00:00Z
2023-10-13,creator_collective,135,7,657.98,92.12,2026-08-20T09:00:00Z
2023-10-13,cashback_network,122,5,442.68,44.27,2026-08-20T09:00:00Z
2023-10-13,editorial_partner,98,4,443.59,53.23,2026-08-20T09:00:00Z
2023-10-14,creator_collective,173,9,889.60,124.54,2026-08-20T09:00:00Z
2023-10-14,cashback_network,122,5,432.43,43.24,2026-08-20T09:00:00Z
2023-10-14,editorial_partner,98,4,434.83,52.18,2026-08-20T09:00:00Z
2023-10-15,creator_collective,154,8,762.69,106.78,2026-08-20T09:00:00Z
2023-10-15,cashback_network,146,6,543.75,54.38,2026-08-20T09:00:00Z
2023-10-15,editorial_partner,98,4,443.95,53.27,2026-08-20T09:00:00Z
2023-10-16,creator_collective,154,8,794.57,111.24,2026-08-20T09:00:00Z
2023-10-16,cashback_network,146,6,548.83,54.88,2026-08-20T09:00:00Z
2023-10-16,editorial_partner,98,4,418.86,50.26,2026-08-20T09:00:00Z
2023-10-17,creator_collective,135,7,688.19,96.35,2026-08-20T09:00:00Z
2023-10-17,cashback_network,122,5,445.99,44.60,2026-08-20T09:00:00Z
2023-10-17,editorial_partner,73,3,314.49,37.74,2026-08-20T09:00:00Z
2023-10-18,creator_collective,154,8,744.78,104.27,2026-08-20T09:00:00Z
2023-10-18,cashback_network,122,5,443.90,44.39,2026-08-20T09:00:00Z
2023-10-18,editorial_partner,98,4,438.08,52.57,2026-08-20T09:00:00Z
2023-10-19,creator_collective,154,8,795.31,111.34,2026-08-20T09:00:00Z
2023-10-19,cashback_network,122,5,432.04,43.20,2026-08-20T09:00:00Z
2023-10-19,editorial_partner,98,4,433.90,52.07,2026-08-20T09:00:00Z
2023-10-20,creator_collective,154,8,740.24,103.63,2026-08-20T09:00:00Z
2023-10-20,cashback_network,122,5,452.30,45.23,2026-08-20T09:00:00Z
2023-10-20,editorial_partner,98,4,428.80,51.46,2026-08-20T09:00:00Z
2023-10-21,creator_collective,154,8,783.61,109.70,2026-08-20T09:00:00Z
2023-10-21,cashback_network,122,5,445.08,44.51,2026-08-20T09:00:00Z
2023-10-21,editorial_partner,98,4,425.88,51.11,2026-08-20T09:00:00Z
2023-10-22,creator_collective,135,7,686.92,96.17,2026-08-20T09:00:00Z
2023-10-22,cashback_network,122,5,429.15,42.91,2026-08-20T09:00:00Z
2023-10-22,editorial_partner,98,4,431.95,51.83,2026-08-20T09:00:00Z
2023-10-23,creator_collective,154,8,765.36,107.15,2026-08-20T09:00:00Z
2023-10-23,cashback_network,122,5,445.20,44.52,2026-08-20T09:00:00Z
2023-10-23,editorial_partner,98,4,433.39,52.01,2026-08-20T09:00:00Z
2023-10-24,creator_collective,154,8,744.40,104.22,2026-08-20T09:00:00Z
2023-10-24,cashback_network,122,5,427.81,42.78,2026-08-20T09:00:00Z
2023-10-24,editorial_partner,98,4,419.55,50.35,2026-08-20T09:00:00Z
2023-10-25,creator_collective,154,8,766.90,107.37,2026-08-20T09:00:00Z
2023-10-25,cashback_network,122,5,440.04,44.00,2026-08-20T09:00:00Z
2023-10-25,editorial_partner,98,4,438.98,52.68,2026-08-20T09:00:00Z
2023-10-26,creator_collective,154,8,784.84,109.88,2026-08-20T09:00:00Z
2023-10-26,cashback_network,122,5,427.31,42.73,2026-08-20T09:00:00Z
2023-10-26,editorial_partner,98,4,435.94,52.31,2026-08-20T09:00:00Z
2023-10-27,creator_collective,135,7,677.16,94.80,2026-08-20T09:00:00Z
2023-10-27,cashback_network,146,6,527.93,52.79,2026-08-20T09:00:00Z
2023-10-27,editorial_partner,98,4,445.82,53.50,2026-08-20T09:00:00Z
2023-10-28,creator_collective,154,8,786.21,110.07,2026-08-20T09:00:00Z
2023-10-28,cashback_network,122,5,439.32,43.93,2026-08-20T09:00:00Z
2023-10-28,editorial_partner,98,4,425.07,51.01,2026-08-20T09:00:00Z
2023-10-29,creator_collective,135,7,698.66,97.81,2026-08-20T09:00:00Z
2023-10-29,cashback_network,122,5,449.56,44.96,2026-08-20T09:00:00Z
2023-10-29,editorial_partner,98,4,448.28,53.79,2026-08-20T09:00:00Z
2023-10-30,creator_collective,154,8,739.27,103.50,2026-08-20T09:00:00Z
2023-10-30,cashback_network,122,5,442.93,44.29,2026-08-20T09:00:00Z
2023-10-30,editorial_partner,98,4,420.96,50.52,2026-08-20T09:00:00Z
2023-10-31,creator_collective,135,7,661.45,92.60,2026-08-20T09:00:00Z
2023-10-31,cashback_network,122,5,434.64,43.46,2026-08-20T09:00:00Z
2023-10-31,editorial_partner,98,4,426.68,51.20,2026-08-20T09:00:00Z
2023-11-01,creator_collective,154,8,782.40,109.54,2026-08-20T09:00:00Z
2023-11-01,cashback_network,122,5,429.63,42.96,2026-08-20T09:00:00Z
2023-11-01,editorial_partner,98,4,447.38,53.69,2026-08-20T09:00:00Z
2023-11-02,creator_collective,135,7,697.78,97.69,2026-08-20T09:00:00Z
2023-11-02,cashback_network,122,5,428.96,42.90,2026-08-20T09:00:00Z
2023-11-02,editorial_partner,98,4,441.16,52.94,2026-08-20T09:00:00Z
2023-11-03,creator_collective,135,7,689.33,96.51,2026-08-20T09:00:00Z
2023-11-03,cashback_network,122,5,430.85,43.08,2026-08-20T09:00:00Z
2023-11-03,editorial_partner,98,4,442.32,53.08,2026-08-20T09:00:00Z
2023-11-04,creator_collective,135,7,675.74,94.60,2026-08-20T09:00:00Z
2023-11-04,cashback_network,122,5,423.75,42.38,2026-08-20T09:00:00Z
2023-11-04,editorial_partner,98,4,447.64,53.72,2026-08-20T09:00:00Z
2023-11-05,creator_collective,135,7,660.29,92.44,2026-08-20T09:00:00Z
2023-11-05,cashback_network,122,5,427.97,42.80,2026-08-20T09:00:00Z
2023-11-05,editorial_partner,98,4,432.78,51.93,2026-08-20T09:00:00Z
2023-11-06,creator_collective,154,8,792.43,110.94,2026-08-20T09:00:00Z
2023-11-06,cashback_network,146,6,541.86,54.19,2026-08-20T09:00:00Z
2023-11-06,editorial_partner,98,4,434.58,52.15,2026-08-20T09:00:00Z
2023-11-07,creator_collective,154,8,770.79,107.91,2026-08-20T09:00:00Z
2023-11-07,cashback_network,122,5,447.57,44.76,2026-08-20T09:00:00Z
2023-11-07,editorial_partner,98,4,424.44,50.93,2026-08-20T09:00:00Z
2023-11-08,creator_collective,154,8,762.81,106.79,2026-08-20T09:00:00Z
2023-11-08,cashback_network,146,6,521.96,52.20,2026-08-20T09:00:00Z
2023-11-08,editorial_partner,98,4,444.32,53.32,2026-08-20T09:00:00Z
2023-11-09,creator_collective,154,8,776.13,108.66,2026-08-20T09:00:00Z
2023-11-09,cashback_network,122,5,426.07,42.61,2026-08-20T09:00:00Z
2023-11-09,editorial_partner,73,3,314.86,37.78,2026-08-20T09:00:00Z
2023-11-10,creator_collective,135,7,679.18,95.09,2026-08-20T09:00:00Z
2023-11-10,cashback_network,122,5,430.79,43.08,2026-08-20T09:00:00Z
2023-11-10,editorial_partner,98,4,446.63,53.60,2026-08-20T09:00:00Z
2023-11-11,creator_collective,154,8,738.69,103.42,2026-08-20T09:00:00Z
2023-11-11,cashback_network,122,5,447.12,44.71,2026-08-20T09:00:00Z
2023-11-11,editorial_partner,98,4,439.19,52.70,2026-08-20T09:00:00Z
2023-11-12,creator_collective,154,8,781.28,109.38,2026-08-20T09:00:00Z
2023-11-12,cashback_network,122,5,440.73,44.07,2026-08-20T09:00:00Z
2023-11-12,editorial_partner,98,4,448.92,53.87,2026-08-20T09:00:00Z
2023-11-13,creator_collective,154,8,753.45,105.48,2026-08-20T09:00:00Z
2023-11-13,cashback_network,146,6,529.97,53.00,2026-08-20T09:00:00Z
2023-11-13,editorial_partner,98,4,440.63,52.88,2026-08-20T09:00:00Z
2023-11-14,creator_collective,173,9,892.07,124.89,2026-08-20T09:00:00Z
2023-11-14,cashback_network,122,5,439.44,43.94,2026-08-20T09:00:00Z
2023-11-14,editorial_partner,98,4,441.01,52.92,2026-08-20T09:00:00Z
2023-11-15,creator_collective,173,9,868.04,121.53,2026-08-20T09:00:00Z
2023-11-15,cashback_network,146,6,534.09,53.41,2026-08-20T09:00:00Z
2023-11-15,editorial_partner,122,5,536.78,64.41,2026-08-20T09:00:00Z
2023-11-16,creator_collective,192,10,985.60,137.98,2026-08-20T09:00:00Z
2023-11-16,cashback_network,146,6,529.13,52.91,2026-08-20T09:00:00Z
2023-11-16,editorial_partner,122,5,530.80,63.70,2026-08-20T09:00:00Z
2023-11-17,creator_collective,154,8,737.38,103.23,2026-08-20T09:00:00Z
2023-11-17,cashback_network,122,5,428.39,42.84,2026-08-20T09:00:00Z
2023-11-17,editorial_partner,98,4,447.28,53.67,2026-08-20T09:00:00Z
2023-11-18,creator_collective,154,8,738.75,103.42,2026-08-20T09:00:00Z
2023-11-18,cashback_network,122,5,428.98,42.90,2026-08-20T09:00:00Z
2023-11-18,editorial_partner,98,4,427.37,51.28,2026-08-20T09:00:00Z
2023-11-19,creator_collective,135,7,684.44,95.82,2026-08-20T09:00:00Z
2023-11-19,cashback_network,122,5,457.40,45.74,2026-08-20T09:00:00Z
2023-11-19,editorial_partner,98,4,419.71,50.37,2026-08-20T09:00:00Z
2023-11-20,creator_collective,192,10,976.93,136.77,2026-08-20T09:00:00Z
2023-11-20,cashback_network,171,7,619.54,61.95,2026-08-20T09:00:00Z
2023-11-20,editorial_partner,146,6,657.56,78.91,2026-08-20T09:00:00Z
2023-11-21,creator_collective,231,12,1164.93,163.09,2026-08-20T09:00:00Z
2023-11-21,cashback_network,171,7,632.38,63.24,2026-08-20T09:00:00Z
2023-11-21,editorial_partner,122,5,532.10,63.85,2026-08-20T09:00:00Z
2023-11-22,creator_collective,212,11,1064.85,149.08,2026-08-20T09:00:00Z
2023-11-22,cashback_network,146,6,510.30,51.03,2026-08-20T09:00:00Z
2023-11-22,editorial_partner,122,5,529.00,63.48,2026-08-20T09:00:00Z
2023-11-23,creator_collective,212,11,1094.00,153.16,2026-08-20T09:00:00Z
2023-11-23,cashback_network,171,7,628.47,62.85,2026-08-20T09:00:00Z
2023-11-23,editorial_partner,122,5,548.19,65.78,2026-08-20T09:00:00Z
2023-11-24,creator_collective,212,11,1057.48,148.05,2026-08-20T09:00:00Z
2023-11-24,cashback_network,146,6,522.55,52.26,2026-08-20T09:00:00Z
2023-11-24,editorial_partner,146,6,650.26,78.03,2026-08-20T09:00:00Z
2023-11-25,creator_collective,231,12,1184.04,165.77,2026-08-20T09:00:00Z
2023-11-25,cashback_network,171,7,607.89,60.79,2026-08-20T09:00:00Z
2023-11-25,editorial_partner,122,5,560.19,67.22,2026-08-20T09:00:00Z
2023-11-26,creator_collective,192,10,929.38,130.11,2026-08-20T09:00:00Z
2023-11-26,cashback_network,171,7,598.25,59.83,2026-08-20T09:00:00Z
2023-11-26,editorial_partner,122,5,533.42,64.01,2026-08-20T09:00:00Z
2023-11-27,creator_collective,212,11,1049.75,146.97,2026-08-20T09:00:00Z
2023-11-27,cashback_network,171,7,636.08,63.61,2026-08-20T09:00:00Z
2023-11-27,editorial_partner,122,5,519.10,62.29,2026-08-20T09:00:00Z
2023-11-28,creator_collective,192,10,982.18,137.51,2026-08-20T09:00:00Z
2023-11-28,cashback_network,195,8,714.94,71.49,2026-08-20T09:00:00Z
2023-11-28,editorial_partner,122,5,528.91,63.47,2026-08-20T09:00:00Z
2023-11-29,creator_collective,212,11,1090.56,152.68,2026-08-20T09:00:00Z
2023-11-29,cashback_network,171,7,636.97,63.70,2026-08-20T09:00:00Z
2023-11-29,editorial_partner,146,6,653.59,78.43,2026-08-20T09:00:00Z
2023-11-30,creator_collective,192,10,948.97,132.86,2026-08-20T09:00:00Z
2023-11-30,cashback_network,171,7,626.15,62.61,2026-08-20T09:00:00Z
2023-11-30,editorial_partner,122,5,557.59,66.91,2026-08-20T09:00:00Z
2023-12-01,creator_collective,212,11,1032.97,144.62,2026-08-20T09:00:00Z
2023-12-01,cashback_network,171,7,623.44,62.34,2026-08-20T09:00:00Z
2023-12-01,editorial_partner,122,5,519.69,62.36,2026-08-20T09:00:00Z
2023-12-02,creator_collective,192,10,951.68,133.23,2026-08-20T09:00:00Z
2023-12-02,cashback_network,146,6,540.37,54.04,2026-08-20T09:00:00Z
2023-12-02,editorial_partner,122,5,537.38,64.49,2026-08-20T09:00:00Z
2023-12-03,creator_collective,192,10,955.35,133.75,2026-08-20T09:00:00Z
2023-12-03,cashback_network,146,6,539.59,53.96,2026-08-20T09:00:00Z
2023-12-03,editorial_partner,122,5,541.21,64.95,2026-08-20T09:00:00Z
2023-12-04,creator_collective,192,10,932.07,130.49,2026-08-20T09:00:00Z
2023-12-04,cashback_network,171,7,633.76,63.38,2026-08-20T09:00:00Z
2023-12-04,editorial_partner,122,5,538.89,64.67,2026-08-20T09:00:00Z
2023-12-05,creator_collective,192,10,978.37,136.97,2026-08-20T09:00:00Z
2023-12-05,cashback_network,171,7,612.42,61.24,2026-08-20T09:00:00Z
2023-12-05,editorial_partner,98,4,422.21,50.67,2026-08-20T09:00:00Z
2023-12-06,creator_collective,173,9,892.89,125.00,2026-08-20T09:00:00Z
2023-12-06,cashback_network,171,7,603.25,60.32,2026-08-20T09:00:00Z
2023-12-06,editorial_partner,122,5,552.23,66.27,2026-08-20T09:00:00Z
2023-12-07,creator_collective,192,10,987.37,138.23,2026-08-20T09:00:00Z
2023-12-07,cashback_network,146,6,525.02,52.50,2026-08-20T09:00:00Z
2023-12-07,editorial_partner,122,5,544.01,65.28,2026-08-20T09:00:00Z
2023-12-08,creator_collective,192,10,980.30,137.24,2026-08-20T09:00:00Z
2023-12-08,cashback_network,171,7,620.48,62.05,2026-08-20T09:00:00Z
2023-12-08,editorial_partner,122,5,536.81,64.42,2026-08-20T09:00:00Z
2023-12-09,creator_collective,192,10,976.79,136.75,2026-08-20T09:00:00Z
2023-12-09,cashback_network,146,6,545.93,54.59,2026-08-20T09:00:00Z
2023-12-09,editorial_partner,122,5,542.25,65.07,2026-08-20T09:00:00Z
2023-12-10,creator_collective,192,10,928.39,129.97,2026-08-20T09:00:00Z
2023-12-10,cashback_network,146,6,540.42,54.04,2026-08-20T09:00:00Z
2023-12-10,editorial_partner,122,5,530.96,63.71,2026-08-20T09:00:00Z
2023-12-11,creator_collective,192,10,927.77,129.89,2026-08-20T09:00:00Z
2023-12-11,cashback_network,146,6,545.18,54.52,2026-08-20T09:00:00Z
2023-12-11,editorial_partner,122,5,519.60,62.35,2026-08-20T09:00:00Z
2023-12-12,creator_collective,212,11,1020.82,142.91,2026-08-20T09:00:00Z
2023-12-12,cashback_network,171,7,620.68,62.07,2026-08-20T09:00:00Z
2023-12-12,editorial_partner,122,5,556.57,66.79,2026-08-20T09:00:00Z
2023-12-13,creator_collective,192,10,943.00,132.02,2026-08-20T09:00:00Z
2023-12-13,cashback_network,171,7,609.71,60.97,2026-08-20T09:00:00Z
2023-12-13,editorial_partner,122,5,560.01,67.20,2026-08-20T09:00:00Z
