activity_date,channel,spend_usd,impressions,clicks,attributed_orders,updated_at
2023-09-28,email,43.34,9158,241,18,2026-08-20T09:00:00Z
2023-09-29,paid_search,511.85,6556,298,13,2026-08-20T09:00:00Z
2023-09-29,paid_social,354.35,12464,328,9,2026-08-20T09:00:00Z
2023-09-29,retargeting,173.99,8056,212,12,2026-08-20T09:00:00Z
2023-09-29,email,46.46,9804,258,19,2026-08-20T09:00:00Z
2023-09-30,paid_search,483.49,6182,281,12,2026-08-20T09:00:00Z
2023-09-30,paid_social,356.42,12540,330,9,2026-08-20T09:00:00Z
2023-09-30,retargeting,179.52,8322,219,13,2026-08-20T09:00:00Z
2023-09-30,email,49.77,10526,277,20,2026-08-20T09:00:00Z
2023-10-01,paid_search,501.24,6402,291,13,2026-08-20T09:00:00Z
2023-10-01,paid_social,349.19,12274,323,8,2026-08-20T09:00:00Z
2023-10-01,retargeting,185.61,8588,226,14,2026-08-20T09:00:00Z
2023-10-01,email,50.26,10602,279,21,2026-08-20T09:00:00Z
2023-10-02,paid_search,452.85,5786,263,12,2026-08-20T09:00:00Z
2023-10-02,paid_social,362.09,12730,335,9,2026-08-20T09:00:00Z
2023-10-02,retargeting,185.46,8588,226,14,2026-08-20T09:00:00Z
2023-10-02,email,50.09,10564,278,21,2026-08-20T09:00:00Z
2023-10-03,paid_search,455.35,5830,265,11,2026-08-20T09:00:00Z
2023-10-03,paid_social,365.02,12844,338,9,2026-08-20T09:00:00Z
2023-10-03,retargeting,168.20,7790,205,12,2026-08-20T09:00:00Z
2023-10-03,email,46.63,9842,259,19,2026-08-20T09:00:00Z
2023-10-04,paid_search,448.86,5742,261,11,2026-08-20T09:00:00Z
2023-10-04,paid_social,376.85,13262,349,9,2026-08-20T09:00:00Z
2023-10-04,retargeting,173.29,8018,211,13,2026-08-20T09:00:00Z
2023-10-04,email,46.86,9880,260,19,2026-08-20T09:00:00Z
2023-10-05,paid_search,454.11,5808,264,11,2026-08-20T09:00:00Z
2023-10-05,paid_social,361.28,12730,335,9,2026-08-20T09:00:00Z
2023-10-05,retargeting,182.35,8436,222,13,2026-08-20T09:00:00Z
2023-10-05,email,44.82,9462,249,18,2026-08-20T09:00:00Z
2023-10-06,paid_search,456.15,5830,265,12,2026-08-20T09:00:00Z
2023-10-06,paid_social,372.48,13110,345,9,2026-08-20T09:00:00Z
2023-10-06,retargeting,185.86,8626,227,14,2026-08-20T09:00:00Z
2023-10-06,email,45.97,9690,255,19,2026-08-20T09:00:00Z
2023-10-07,paid_search,500.23,6402,291,12,2026-08-20T09:00:00Z
2023-10-07,paid_social,388.94,13680,360,9,2026-08-20T09:00:00Z
2023-10-07,retargeting,183.19,8474,223,14,2026-08-20T09:00:00Z
2023-10-07,email,46.71,9880,260,20,2026-08-20T09:00:00Z
2023-10-08,paid_search,453.64,5808,264,12,2026-08-20T09:00:00Z
2023-10-08,paid_social,373.92,13148,346,9,2026-08-20T09:00:00Z
2023-10-08,retargeting,179.62,8322,219,14,2026-08-20T09:00:00Z
2023-10-08,email,45.99,9690,255,19,2026-08-20T09:00:00Z
2023-10-09,paid_search,494.08,6314,287,12,2026-08-20T09:00:00Z
2023-10-09,paid_social,349.29,12274,323,9,2026-08-20T09:00:00Z
2023-10-09,retargeting,183.21,8474,223,14,2026-08-20T09:00:00Z
2023-10-09,email,44.58,9424,248,18,2026-08-20T09:00:00Z
2023-10-10,paid_search,457.84,5852,266,11,2026-08-20T09:00:00Z
2023-10-10,paid_social,345.93,12160,320,8,2026-08-20T09:00:00Z
2023-10-10,retargeting,179.70,8322,219,13,2026-08-20T09:00:00Z
2023-10-10,email,49.32,10412,274,20,2026-08-20T09:00:00Z
2023-10-11,paid_search,469.42,6006,273,12,2026-08-20T09:00:00Z
2023-10-11,paid_social,360.68,12692,334,9,2026-08-20T09:00:00Z
2023-10-11,retargeting,164.20,7600,200,12,2026-08-20T09:00:00Z
2023-10-11,email,48.22,10184,268,19,2026-08-20T09:00:00Z
2023-10-12,paid_search,483.76,6182,281,12,2026-08-20T09:00:00Z
2023-10-12,paid_social,383.45,13490,355,9,2026-08-20T09:00:00Z
2023-10-12,retargeting,177.27,8208,216,13,2026-08-20T09:00:00Z
2023-10-12,email,50.57,10678,281,22,2026-08-20T09:00:00Z
2023-10-13,paid_search,529.68,6776,308,13,2026-08-20T09:00:00Z
2023-10-13,paid_social,351.93,12388,326,9,2026-08-20T09:00:00Z
2023-10-13,retargeting,168.25,7790,205,13,2026-08-20T09:00:00Z
2023-10-13,email,47.00,9918,261,19,2026-08-20T09:00:00Z
2023-10-14,paid_search,520.71,6666,303,15,2026-08-20T09:00:00Z
2023-10-14,paid_social,413.78,14554,383,11,2026-08-20T09:00:00Z
2023-10-14,retargeting,195.42,9044,238,16,2026-08-20T09:00:00Z
2023-10-14,email,51.28,10830,285,23,2026-08-20T09:00:00Z
2023-10-15,paid_search,559.51,7150,325,16,2026-08-20T09:00:00Z
2023-10-15,paid_social,408.67,14364,378,10,2026-08-20T09:00:00Z
2023-10-15,retargeting,188.28,8740,230,15,2026-08-20T09:00:00Z
2023-10-15,email,55.49,11704,308,24,2026-08-20T09:00:00Z
2023-10-16,paid_search,589.18,7546,343,16,2026-08-20T09:00:00Z
2023-10-16,paid_social,457.14,16074,423,12,2026-08-20T09:00:00Z
2023-10-16,retargeting,205.44,9538,251,17,2026-08-20T09:00:00Z
2023-10-16,email,56.11,11856,312,25,2026-08-20T09:00:00Z
2023-10-17,paid_search,507.37,6490,295,13,2026-08-20T09:00:00Z
2023-10-17,paid_social,375.15,13186,347,9,2026-08-20T09:00:00Z
2023-10-17,retargeting,166.67,7714,203,12,2026-08-20T09:00:00Z
2023-10-17,email,48.14,10146,267,20,2026-08-20T09:00:00Z
2023-10-18,paid_search,479.25,6138,279,12,2026-08-20T09:00:00Z
2023-10-18,paid_social,354.78,12464,328,9,2026-08-20T09:00:00Z
2023-10-18,retargeting,187.95,8702,229,14,2026-08-20T09:00:00Z
2023-10-18,email,47.59,10032,264,20,2026-08-20T09:00:00Z
2023-10-19,paid_search,466.95,5962,271,11,2026-08-20T09:00:00Z
2023-10-19,paid_social,389.69,13718,361,10,2026-08-20T09:00:00Z
2023-10-19,retargeting,182.40,8436,222,13,2026-08-20T09:00:00Z
2023-10-19,email,52.11,10982,289,21,2026-08-20T09:00:00Z
2023-10-20,paid_search,514.51,6578,299,13,2026-08-20T09:00:00Z
2023-10-20,paid_social,362.14,12730,335,9,2026-08-20T09:00:00Z
2023-10-20,retargeting,186.32,8626,227,14,2026-08-20T09:00:00Z
2023-10-20,email,52.30,11058,291,21,2026-08-20T09:00:00Z
2023-10-21,paid_search,536.59,6864,312,13,2026-08-20T09:00:00Z
2023-10-21,paid_social,373.55,13148,346,9,2026-08-20T09:00:00Z
2023-10-21,retargeting,177.65,8246,217,14,2026-08-20T09:00:00Z
2023-10-21,email,48.31,10184,268,20,2026-08-20T09:00:00Z
2023-10-22,paid_search,494.87,6336,288,13,2026-08-20T09:00:00Z
2023-10-22,paid_social,386.46,13604,358,9,2026-08-20T09:00:00Z
2023-10-22,retargeting,184.40,8550,225,13,2026-08-20T09:00:00Z
2023-10-22,email,51.57,10868,286,21,2026-08-20T09:00:00Z
2023-10-23,paid_search,482.25,6160,280,12,2026-08-20T09:00:00Z
2023-10-23,paid_social,352.18,12388,326,8,2026-08-20T09:00:00Z
2023-10-23,retargeting,169.70,7866,207,12,2026-08-20T09:00:00Z
2023-10-23,email,46.22,9766,257,20,2026-08-20T09:00:00Z
2023-10-24,paid_search,512.99,6556,298,13,2026-08-20T09:00:00Z
2023-10-24,paid_social,405.97,14288,376,10,2026-08-20T09:00:00Z
2023-10-24,retargeting,172.96,8018,211,13,2026-08-20T09:00:00Z
2023-10-24,email,52.76,11134,293,21,2026-08-20T09:00:00Z
2023-10-25,paid_search,496.40,6358,289,13,2026-08-20T09:00:00Z
2023-10-25,paid_social,405.80,14288,376,10,2026-08-20T09:00:00Z
2023-10-25,retargeting,180.70,8360,220,13,2026-08-20T09:00:00Z
2023-10-25,email,46.69,9842,259,19,2026-08-20T09:00:00Z
2023-10-26,paid_search,500.49,6402,291,13,2026-08-20T09:00:00Z
2023-10-26,paid_social,413.55,14554,383,10,2026-08-20T09:00:00Z
2023-10-26,retargeting,185.90,8626,227,14,2026-08-20T09:00:00Z
2023-10-26,email,48.70,10298,271,19,2026-08-20T09:00:00Z
2023-10-27,paid_search,541.11,6930,315,13,2026-08-20T09:00:00Z
2023-10-27,paid_social,410.17,14440,380,10,2026-08-20T09:00:00Z
2023-10-27,retargeting,193.27,8968,236,14,2026-08-20T09:00:00Z
2023-10-27,email,52.09,10982,289,21,2026-08-20T09:00:00Z
2023-10-28,paid_search,547.15,6996,318,13,2026-08-20T09:00:00Z
2023-10-28,paid_social,393.72,13870,365,9,2026-08-20T09:00:00Z
2023-10-28,retargeting,181.85,8436,222,14,2026-08-20T09:00:00Z
2023-10-28,email,46.37,9804,258,19,2026-08-20T09:00:00Z
2023-10-29,paid_search,499.25,6380,290,13,2026-08-20T09:00:00Z
2023-10-29,paid_social,387.97,13642,359,9,2026-08-20T09:00:00Z
2023-10-29,retargeting,185.37,8588,226,14,2026-08-20T09:00:00Z
2023-10-29,email,46.14,9728,256,18,2026-08-20T09:00:00Z
2023-10-30,paid_search,509.24,6512,296,13,2026-08-20T09:00:00Z
2023-10-30,paid_social,376.83,13262,349,9,2026-08-20T09:00:00Z
2023-10-30,retargeting,170.69,7904,208,13,2026-08-20T09:00:00Z
2023-10-30,email,49.04,10336,272,20,2026-08-20T09:00:00Z
2023-10-31,paid_search,500.79,6402,291,12,2026-08-20T09:00:00Z
2023-10-31,paid_social,374.85,13186,347,9,2026-08-20T09:00:00Z
2023-10-31,retargeting,194.10,9006,237,15,2026-08-20T09:00:00Z
2023-10-31,email,52.97,11172,294,21,2026-08-20T09:00:00Z
2023-11-01,paid_search,551.23,7040,320,13,2026-08-20T09:00:00Z
2023-11-01,paid_social,405.46,14250,375,10,2026-08-20T09:00:00Z
2023-11-01,retargeting,198.56,9196,242,15,2026-08-20T09:00:00Z
2023-11-01,email,53.97,11400,300,22,2026-08-20T09:00:00Z
2023-11-02,paid_search,512.92,6556,298,12,2026-08-20T09:00:00Z
2023-11-02,paid_social,414.33,14592,384,10,2026-08-20T09:00:00Z
2023-11-02,retargeting,185.19,8588,226,13,2026-08-20T09:00:00Z
2023-11-02,email,50.26,10602,279,21,2026-08-20T09:00:00Z
2023-11-03,paid_search,472.25,6050,275,12,2026-08-20T09:00:00Z
2023-11-03,paid_social,408.82,14402,379,10,2026-08-20T09:00:00Z
2023-11-03,retargeting,189.46,8778,231,15,2026-08-20T09:00:00Z
2023-11-03,email,48.03,10146,267,19,2026-08-20T09:00:00Z
2023-11-04,paid_search,533.36,6820,310,14,2026-08-20T09:00:00Z
2023-11-04,paid_social,401.28,14136,372,9,2026-08-20T09:00:00Z
2023-11-04,retargeting,183.95,8512,224,14,2026-08-20T09:00:00Z
2023-11-04,email,53.22,11248,296,22,2026-08-20T09:00:00Z
2023-11-05,paid_search,519.78,6644,302,13,2026-08-20T09:00:00Z
2023-11-05,paid_social,374.49,13186,347,9,2026-08-20T09:00:00Z
2023-11-05,retargeting,183.47,8512,224,14,2026-08-20T09:00:00Z
2023-11-05,email,50.66,10678,281,21,2026-08-20T09:00:00Z
2023-11-06,paid_search,553.95,7084,322,14,2026-08-20T09:00:00Z
2023-11-06,paid_social,358.93,12616,332,9,2026-08-20T09:00:00Z
2023-11-06,retargeting,192.98,8930,235,14,2026-08-20T09:00:00Z
2023-11-06,email,51.50,10868,286,21,2026-08-20T09:00:00Z
2023-11-07,paid_search,548.28,7018,319,13,2026-08-20T09:00:00Z
2023-11-07,paid_social,379.92,13376,352,9,2026-08-20T09:00:00Z
2023-11-07,retargeting,174.08,8056,212,13,2026-08-20T09:00:00Z
2023-11-07,email,51.01,10754,283,20,2026-08-20T09:00:00Z
2023-11-08,paid_search,498.57,6380,290,12,2026-08-20T09:00:00Z
2023-11-08,paid_social,416.26,14630,385,10,2026-08-20T09:00:00Z
2023-11-08,retargeting,174.20,8056,212,13,2026-08-20T09:00:00Z
2023-11-08,email,46.43,9804,258,19,2026-08-20T09:00:00Z
2023-11-09,paid_search,492.45,6292,286,12,2026-08-20T09:00:00Z
2023-11-09,paid_social,375.01,13186,347,9,2026-08-20T09:00:00Z
2023-11-09,retargeting,188.32,8740,230,14,2026-08-20T09:00:00Z
2023-11-09,email,53.43,11286,297,23,2026-08-20T09:00:00Z
2023-11-10,paid_search,551.61,7062,321,13,2026-08-20T09:00:00Z
2023-11-10,paid_social,387.91,13642,359,9,2026-08-20T09:00:00Z
2023-11-10,retargeting,177.86,8246,217,14,2026-08-20T09:00:00Z
2023-11-10,email,52.60,11096,292,22,2026-08-20T09:00:00Z
2023-11-11,paid_search,498.77,6380,290,12,2026-08-20T09:00:00Z
2023-11-11,paid_social,409.21,14402,379,10,2026-08-20T09:00:00Z
2023-11-11,retargeting,196.89,9120,240,15,2026-08-20T09:00:00Z
2023-11-11,email,52.24,11020,290,22,2026-08-20T09:00:00Z
2023-11-12,paid_search,484.35,6204,282,12,2026-08-20T09:00:00Z
2023-11-12,paid_social,405.92,14288,376,10,2026-08-20T09:00:00Z
2023-11-12,retargeting,182.02,8436,222,14,2026-08-20T09:00:00Z
2023-11-12,email,49.51,10450,275,19,2026-08-20T09:00:00Z
2023-11-13,paid_search,523.68,6688,304,14,2026-08-20T09:00:00Z
2023-11-13,paid_social,416.65,14668,386,10,2026-08-20T09:00:00Z
2023-11-13,retargeting,182.86,8474,223,14,2026-08-20T09:00:00Z
2023-11-13,email,48.70,10298,271,20,2026-08-20T09:00:00Z
2023-11-14,paid_search,569.73,7282,331,15,2026-08-20T09:00:00Z
2023-11-14,paid_social,461.62,16226,427,12,2026-08-20T09:00:00Z
2023-11-14,retargeting,207.75,9614,253,17,2026-08-20T09:00:00Z
2023-11-14,email,52.69,11134,293,24,2026-08-20T09:00:00Z
2023-11-15,paid_search,601.35,7700,350,17,2026-08-20T09:00:00Z
2023-11-15,paid_social,471.27,16568,436,12,2026-08-20T09:00:00Z
2023-11-15,retargeting,211.09,9766,257,18,2026-08-20T09:00:00Z
2023-11-15,email,51.01,10754,283,22,2026-08-20T09:00:00Z
2023-11-16,paid_search,568.21,7260,330,15,2026-08-20T09:00:00Z
2023-11-16,paid_social,446.69,15732,414,12,2026-08-20T09:00:00Z
2023-11-16,retargeting,199.80,9272,244,16,2026-08-20T09:00:00Z
2023-11-16,email,55.81,11780,310,25,2026-08-20T09:00:00Z
2023-11-17,paid_search,494.95,6336,288,13,2026-08-20T09:00:00Z
2023-11-17,paid_social,395.44,13908,366,9,2026-08-20T09:00:00Z
2023-11-17,retargeting,177.22,8208,216,13,2026-08-20T09:00:00Z
2023-11-17,email,51.04,10792,284,21,2026-08-20T09:00:00Z
2023-11-18,paid_search,491.23,6292,286,13,2026-08-20T09:00:00Z
2023-11-18,paid_social,397.42,13984,368,10,2026-08-20T09:00:00Z
2023-11-18,retargeting,192.64,8930,235,14,2026-08-20T09:00:00Z
2023-11-18,email,54.33,11476,302,23,2026-08-20T09:00:00Z
2023-11-19,paid_search,530.60,6776,308,13,2026-08-20T09:00:00Z
2023-11-19,paid_social,402.40,14174,373,10,2026-08-20T09:00:00Z
2023-11-19,retargeting,180.69,8360,220,14,2026-08-20T09:00:00Z
2023-11-19,email,54.57,11514,303,22,2026-08-20T09:00:00Z
2023-11-20,paid_search,720.09,9218,419,24,2026-08-20T09:00:00Z
2023-11-20,paid_social,597.82,21052,554,19,2026-08-20T09:00:00Z
2023-11-20,retargeting,263.07,12198,321,25,2026-08-20T09:00:00Z
2023-11-20,email,67.18,14174,373,36,2026-08-20T09:00:00Z
2023-11-21,paid_search,717.00,9174,417,24,2026-08-20T09:00:00Z
2023-11-21,paid_social,565.36,19874,523,18,2026-08-20T09:00:00Z
2023-11-21,retargeting,276.23,12806,337,27,2026-08-20T09:00:00Z
2023-11-21,email,67.01,14136,372,37,2026-08-20T09:00:00Z
2023-11-22,paid_search,754.67,9658,439,26,2026-08-20T09:00:00Z
