activity_date,gross_revenue_usd,refunds_usd,net_revenue_usd,orders,units_sold,shipped_revenue_usd,units_shipped,ending_backlog_revenue_usd,stockout_rate,event_name,updated_at
2023-10-16,7805.34,267.71,7537.64,87,114,9894.18,145,5656.10,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-10-17,7177.98,276.37,6901.60,78,100,9897.29,140,2660.41,0.0180,none,2026-08-20T09:00:00Z
2023-10-18,7650.79,296.87,7353.93,86,111,9717.06,144,297.28,0.0180,none,2026-08-20T09:00:00Z
2023-10-19,7761.19,362.29,7398.90,84,112,7696.18,109,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-20,8455.38,337.02,8118.35,95,125,8118.35,119,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-21,8634.60,295.20,8339.39,97,126,5046.62,74,3292.77,0.0180,none,2026-08-20T09:00:00Z
2023-10-22,7446.89,287.53,7159.36,80,105,3855.00,54,6597.13,0.0180,none,2026-08-20T09:00:00Z
2023-10-23,6769.72,281.54,6488.18,76,100,9915.96,146,3169.36,0.0180,none,2026-08-20T09:00:00Z
2023-10-24,7324.50,281.37,7043.12,79,101,9919.07,140,293.42,0.0180,none,2026-08-20T09:00:00Z
2023-10-25,7822.21,327.97,7494.24,85,111,7787.66,110,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-26,7993.43,307.86,7685.57,87,117,7685.57,109,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-27,8628.43,295.59,8332.84,92,123,8332.84,117,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-28,8633.96,267.37,8366.59,93,121,5057.71,72,3308.88,0.0180,none,2026-08-20T09:00:00Z
2023-10-29,7406.15,257.56,7148.59,84,111,3863.46,57,6594.01,0.0180,none,2026-08-20T09:00:00Z
2023-10-30,6880.78,310.49,6570.29,75,98,9937.73,141,3226.57,0.0180,none,2026-08-20T09:00:00Z
2023-10-31,7369.20,303.24,7065.96,82,106,9940.84,145,351.70,0.0180,none,2026-08-20T09:00:00Z
2023-11-01,8044.45,315.73,7728.71,90,116,8080.41,118,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-02,7825.14,345.34,7479.80,85,112,7479.80,106,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-03,8554.24,272.22,8282.02,93,123,8282.02,118,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-04,8670.72,272.43,8398.29,94,124,5068.80,72,3329.49,0.0180,none,2026-08-20T09:00:00Z
2023-11-05,7533.58,264.49,7269.09,83,107,3871.93,56,6726.65,0.0180,none,2026-08-20T09:00:00Z
2023-11-06,7173.30,301.25,6872.05,81,104,9959.50,147,3639.21,0.0180,none,2026-08-20T09:00:00Z
2023-11-07,7606.37,285.24,7321.13,85,113,9962.61,145,997.73,0.0180,none,2026-08-20T09:00:00Z
2023-11-08,7949.95,333.85,7616.11,90,117,8613.83,128,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-09,8075.84,351.93,7723.91,87,112,7723.91,109,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-10,8591.12,308.93,8282.19,93,121,8282.19,117,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-11,8551.00,256.12,8294.88,92,121,5079.89,71,3214.99,0.0180,none,2026-08-20T09:00:00Z
2023-11-12,7670.12,300.13,7369.99,86,112,3880.40,57,6704.59,0.0180,none,2026-08-20T09:00:00Z
2023-11-13,7274.42,294.91,6979.51,79,106,9981.27,142,3702.82,0.0180,none,2026-08-20T09:00:00Z
2023-11-14,8571.96,328.10,8243.87,93,124,9984.38,142,1962.31,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-11-15,9066.94,316.26,8750.67,102,134,9802.54,145,910.44,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-11-16,9176.44,332.29,8844.15,100,131,9620.58,138,134.01,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-11-17,8493.68,292.25,8201.43,96,123,8335.44,124,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-11-18,8666.26,272.39,8393.87,94,123,5090.98,72,3302.90,0.0180,none,2026-08-20T09:00:00Z
2023-11-19,7732.38,327.79,7404.59,84,111,3888.86,55,6818.63,0.0180,none,2026-08-20T09:00:00Z
2023-11-20,9968.52,391.72,9576.80,106,141,9002.74,126,7392.69,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-21,10607.25,434.42,10172.84,118,153,9005.54,132,8559.98,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-22,10700.36,397.12,10303.25,115,147,8841.52,124,10021.71,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-23,10994.53,404.18,10590.35,119,157,8677.39,123,11934.67,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-24,11367.23,357.66,11009.57,127,170,8179.32,120,14764.92,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-25,11801.35,474.55,11326.81,129,166,4591.86,66,21499.87,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-26,10659.09,521.23,10137.86,116,152,3507.60,50,28130.13,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-27,9785.48,509.50,9275.99,107,141,9022.34,130,28383.78,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-28,10234.98,539.58,9695.40,110,143,9025.14,127,29054.04,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-29,11106.89,521.59,10585.30,126,167,8860.75,132,30778.59,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-11-30,10940.04,570.83,10369.21,119,154,8696.26,124,32451.54,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-01,10806.70,506.40,10300.30,116,155,8197.10,115,34554.74,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-02,11650.55,441.09,11209.46,125,163,4601.84,65,41162.37,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-03,9979.06,488.54,9490.52,106,140,3515.22,49,47137.67,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-04,9462.97,513.65,8949.32,101,132,9041.93,127,47045.06,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-05,9538.65,496.18,9042.47,103,134,9044.73,128,47042.80,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-06,10090.44,525.45,9564.99,112,147,8879.98,129,47727.80,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-07,10234.16,558.23,9675.93,112,144,8715.13,125,48688.59,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-08,11280.34,457.12,10823.23,125,167,8214.88,119,51296.94,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-09,11415.92,444.37,10971.55,123,163,4611.82,65,57656.68,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-10,10103.82,444.65,9659.17,115,149,3522.84,52,63793.00,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-11,9513.35,452.93,9060.42,102,136,9061.53,127,63791.89,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-12,9959.72,458.62,9501.10,107,139,9064.33,128,64228.66,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-13,10118.10,555.48,9562.62,114,147,8899.22,131,64892.07,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-14,10685.84,526.21,10159.63,117,151,8734.00,125,66317.69,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-15,10969.33,460.22,10509.11,117,154,8232.66,115,68594.14,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-16,11128.00,403.11,10724.88,123,158,4621.80,67,74697.23,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-17,10064.28,473.34,9590.95,109,145,3530.46,50,80757.72,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-18,9385.93,435.04,8950.90,105,135,9081.12,134,80627.49,0.0730,holiday_peak,2026-08-20T09:00:00Z
2023-12-19,7537.26,400.79,7136.48,85,109,10093.25,149,77670.72,0.0180,none,2026-08-20T09:00:00Z
2023-12-20,7856.34,423.02,7433.32,85,109,9909.39,141,75194.65,0.0180,none,2026-08-20T09:00:00Z
2023-12-21,7985.64,401.90,7583.74,85,114,9725.41,135,73052.98,0.0180,none,2026-08-20T09:00:00Z
2023-12-22,8776.51,387.02,8389.48,97,127,9167.16,133,72275.31,0.0180,none,2026-08-20T09:00:00Z
2023-12-23,8738.78,377.89,8360.89,99,130,5146.42,76,75489.79,0.0180,none,2026-08-20T09:00:00Z
2023-12-24,7644.38,291.06,7353.32,85,114,3931.20,57,78911.91,0.0180,none,2026-08-20T09:00:00Z
2023-12-25,7210.66,289.06,6921.60,78,102,10111.91,143,75721.60,0.0180,none,2026-08-20T09:00:00Z
2023-12-26,7403.28,290.99,7112.29,84,109,10115.02,150,72718.87,0.0180,none,2026-08-20T09:00:00Z
2023-12-27,7688.11,357.10,7331.01,87,117,9930.76,147,70119.12,0.0180,none,2026-08-20T09:00:00Z
2023-12-28,8076.03,319.61,7756.42,89,116,9746.38,141,68129.16,0.0180,none,2026-08-20T09:00:00Z
2023-12-29,8703.12,313.00,8390.12,97,130,9186.91,134,67332.37,0.0180,none,2026-08-20T09:00:00Z
2023-12-30,8885.43,281.11,8604.32,101,132,5157.50,77,70779.18,0.0180,none,2026-08-20T09:00:00Z
2023-12-31,7576.24,303.25,7272.99,84,109,3939.67,57,74112.50,0.0180,none,2026-08-20T09:00:00Z
2024-01-01,7089.56,285.83,6803.72,75,98,10133.68,141,70782.54,0.0180,none,2026-08-20T09:00:00Z
2024-01-02,7441.02,297.06,7143.97,83,106,10136.79,147,67789.71,0.0180,none,2026-08-20T09:00:00Z
2024-01-03,7658.34,345.22,7313.12,85,113,9952.13,145,65150.71,0.0180,none,2026-08-20T09:00:00Z
2024-01-04,7882.54,313.66,7568.88,89,118,9767.35,145,62952.24,0.0180,none,2026-08-20T09:00:00Z
2024-01-05,8302.13,267.88,8034.25,90,116,9206.67,131,61779.83,0.0180,none,2026-08-20T09:00:00Z
2024-01-06,8551.31,273.82,8277.48,91,120,5168.59,72,64888.72,0.0180,none,2026-08-20T09:00:00Z
2024-01-07,7729.46,294.19,7435.27,85,110,3948.13,57,68375.86,0.0180,none,2026-08-20T09:00:00Z
2024-01-08,7066.49,312.20,6754.28,76,101,10155.46,143,64974.68,0.0180,none,2026-08-20T09:00:00Z
2024-01-09,7197.34,279.62,6917.72,79,106,10158.57,146,61733.84,0.0180,none,2026-08-20T09:00:00Z
2024-01-10,7848.34,307.38,7540.96,85,110,9973.50,141,59301.30,0.0180,none,2026-08-20T09:00:00Z
2024-01-11,7762.43,336.90,7425.53,87,116,9788.31,143,56938.52,0.0180,none,2026-08-20T09:00:00Z
2024-01-12,8205.47,284.41,7921.06,88,117,9226.43,129,55633.15,0.0180,none,2026-08-20T09:00:00Z
2024-01-13,8360.30,284.86,8075.44,93,123,5179.68,76,58528.91,0.0180,none,2026-08-20T09:00:00Z
2024-01-14,8231.28,293.31,7937.97,91,121,3956.60,57,62510.28,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-01-15,7857.94,320.59,7537.36,88,117,10177.23,149,59870.41,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-01-16,7960.97,312.29,7648.69,88,118,10180.34,147,57338.76,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-01-17,7347.09,331.00,7016.09,82,109,9994.87,147,54359.98,0.0180,none,2026-08-20T09:00:00Z
2024-01-18,7757.40,297.12,7460.28,83,109,9809.28,137,52010.98,0.0180,none,2026-08-20T09:00:00Z
2024-01-19,8040.62,323.10,7717.51,86,113,9246.18,130,50482.31,0.0180,none,2026-08-20T09:00:00Z
2024-01-20,8374.54,309.33,8065.22,90,118,5190.77,73,53356.76,0.0180,none,2026-08-20T09:00:00Z
2024-01-21,7135.42,299.49,6835.94,76,101,3965.07,56,56227.63,0.0180,none,2026-08-20T09:00:00Z
2024-01-22,6805.83,296.94,6508.89,75,98,10199.00,147,52537.51,0.0180,none,2026-08-20T09:00:00Z
2024-01-23,7341.10,316.53,7024.57,80,104,10202.11,146,49359.97,0.0180,none,2026-08-20T09:00:00Z
2024-01-24,7563.54,289.15,7274.39,86,112,10016.24,149,46618.13,0.0180,none,2026-08-20T09:00:00Z
2024-01-25,7704.08,324.33,7379.75,86,115,9830.25,144,44167.63,0.0180,none,2026-08-20T09:00:00Z
2024-01-26,7991.12,265.24,7725.88,89,119,9265.94,135,42627.57,0.0180,none,2026-08-20T09:00:00Z
2024-01-27,8363.57,275.10,8088.46,94,123,5201.86,77,45514.18,0.0180,none,2026-08-20T09:00:00Z
2024-01-28,7346.80,272.94,7073.87,80,107,3973.54,56,48614.51,0.0180,none,2026-08-20T09:00:00Z
2024-01-29,6894.46,265.23,6629.23,77,102,10220.77,150,45022.97,0.0180,none,2026-08-20T09:00:00Z
2024-01-30,7059.73,300.28,6759.46,79,105,10223.88,150,41558.54,0.0180,none,2026-08-20T09:00:00Z
2024-01-31,7317.79,294.69,7023.10,82,109,10037.61,148,38544.04,0.0180,none,2026-08-20T09:00:00Z
2024-02-01,7546.75,338.08,7208.68,81,106,9851.21,139,35901.50,0.0180,none,2026-08-20T09:00:00Z
2024-02-02,7868.08,263.22,7604.85,85,114,9285.70,132,34220.66,0.0180,none,2026-08-20T09:00:00Z
2024-02-03,8367.75,252.90,8114.85,92,122,5212.94,75,37122.56,0.0180,none,2026-08-20T09:00:00Z
2024-02-04,7243.11,263.42,6979.69,78,100,3982.00,56,40120.25,0.0180,none,2026-08-20T09:00:00Z
2024-02-05,6680.83,287.68,6393.15,71,94,10242.55,143,36270.85,0.0180,none,2026-08-20T09:00:00Z
2024-02-06,7080.24,295.52,6784.73,77,99,10245.66,146,32809.92,0.0180,none,2026-08-20T09:00:00Z
2024-02-07,7274.81,295.89,6978.92,79,101,10058.98,144,29729.87,0.0180,none,2026-08-20T09:00:00Z
2024-02-08,7316.30,321.69,6994.61,83,110,9872.18,147,26852.30,0.0180,none,2026-08-20T09:00:00Z
2024-02-09,7929.41,296.28,7633.13,87,115,9305.45,133,25179.97,0.0180,none,2026-08-20T09:00:00Z
2024-02-10,7781.99,270.84,7511.15,86,114,5224.03,75,27467.09,0.0180,none,2026-08-20T09:00:00Z
2024-02-11,7045.75,270.56,6775.18,80,105,3990.47,59,30251.80,0.0180,none,2026-08-20T09:00:00Z
2024-02-12,6383.55,287.58,6095.97,70,90,10264.32,148,26083.45,0.0180,none,2026-08-20T09:00:00Z
2024-02-13,6716.88,296.26,6420.62,75,98,10267.43,150,22236.65,0.0180,none,2026-08-20T09:00:00Z
2024-02-14,8107.40,292.99,7814.41,91,120,10080.35,148,19970.71,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-02-15,7905.13,272.38,7632.75,89,115,9893.15,146,17710.31,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-02-16,8607.28,284.80,8322.48,94,120,9325.21,133,16707.58,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-02-17,7713.29,249.51,7463.78,84,111,5235.12,75,18936.24,0.0180,none,2026-08-20T09:00:00Z
2024-02-18,7104.55,268.95,6835.59,79,105,3998.94,58,21772.90,0.0180,none,2026-08-20T09:00:00Z
2024-02-19,6644.15,325.43,6318.72,72,95,10286.09,145,17805.53,0.0180,none,2026-08-20T09:00:00Z
2024-02-20,6869.89,312.37,6557.52,77,100,10289.20,151,14073.84,0.0180,none,2026-08-20T09:00:00Z
2024-02-21,7266.90,339.37,6927.53,81,105,10101.72,148,10899.65,0.0180,none,2026-08-20T09:00:00Z
2024-02-22,7337.28,287.09,7050.19,81,107,9914.11,143,8035.73,0.0180,none,2026-08-20T09:00:00Z
2024-02-23,7704.66,289.03,7415.63,86,110,9344.97,136,6106.40,0.0180,none,2026-08-20T09:00:00Z
2024-02-24,7700.95,252.71,7448.24,83,109,5246.21,74,8308.43,0.0180,none,2026-08-20T09:00:00Z
2024-02-25,6586.31,246.76,6339.55,70,92,4007.40,56,10640.57,0.0180,none,2026-08-20T09:00:00Z
2024-02-26,6351.24,269.60,6081.64,70,91,10307.87,150,6414.34,0.0180,none,2026-08-20T09:00:00Z
2024-02-27,6582.54,261.53,6321.01,72,96,10310.98,148,2424.38,0.0180,none,2026-08-20T09:00:00Z
2024-02-28,6586.85,311.57,6275.28,72,92,8699.66,124,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-02-29,6941.24,298.07,6643.17,78,105,6643.17,98,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-01,7091.83,246.36,6845.47,77,103,6845.47,98,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-02,7627.36,255.18,7372.19,81,104,5257.30,73,2114.89,0.0180,none,2026-08-20T09:00:00Z
2024-03-03,6897.87,247.50,6650.36,74,96,4015.87,56,4749.38,0.0180,none,2026-08-20T09:00:00Z
2024-03-04,6062.11,269.07,5793.05,67,89,10329.64,150,212.79,0.0180,none,2026-08-20T09:00:00Z
2024-03-05,6376.73,253.06,6123.67,70,91,6336.46,92,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-06,6734.19,253.55,6480.64,73,95,6480.64,91,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-07,6798.35,269.27,6529.08,76,100,6529.08,96,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-08,7234.97,278.87,6956.10,82,105,6956.10,104,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-09,7549.25,224.73,7324.52,83,107,5268.38,76,2056.13,0.0180,none,2026-08-20T09:00:00Z
2024-03-10,6450.79,229.52,6221.27,70,92,4024.34,57,4253.07,0.0180,none,2026-08-20T09:00:00Z
2024-03-11,6021.30,246.70,5774.60,68,88,10027.67,148,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-12,6514.45,252.34,6262.12,73,97,6262.12,92,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-13,6438.55,270.16,6168.39,69,88,6168.39,86,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-14,7848.12,288.59,7559.53,84,112,7559.53,106,0.00,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-03-15,8079.38,261.62,7817.77,86,115,7817.77,109,0.00,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-03-16,8200.58,220.89,7979.69,92,120,5279.47,77,2700.22,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2024-03-17,6522.96,266.65,6256.31,74,98,4032.81,60,4923.71,0.0180,none,2026-08-20T09:00:00Z
2024-03-18,6043.82,247.35,5796.47,66,89,10373.18,148,347.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-19,6293.98,308.52,5985.46,68,88,6332.46,89,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-20,6334.73,290.56,6044.17,69,91,6044.17,87,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-21,6692.30,308.92,6383.38,75,98,6383.38,93,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-22,7100.65,262.81,6837.84,81,105,6837.84,102,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-23,6949.71,237.44,6712.28,79,102,5290.56,79,1421.72,0.0180,none,2026-08-20T09:00:00Z
2024-03-24,6015.40,225.97,5789.43,68,89,4041.27,60,3169.88,0.0180,none,2026-08-20T09:00:00Z
2024-03-25,5900.34,238.46,5661.88,63,83,8831.75,124,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-26,6072.21,270.45,5801.76,68,88,5801.76,85,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-27,6277.84,252.15,6025.69,67,89,6025.69,85,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-28,6718.63,243.10,6475.53,72,95,6475.53,91,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-29,6944.34,211.56,6732.78,75,99,6732.78,95,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-03-30,7054.08,233.83,6820.25,80,104,5301.65,78,1518.60,0.0180,none,2026-08-20T09:00:00Z
2024-03-31,6107.66,219.38,5888.28,67,87,4049.74,58,3357.13,0.0180,none,2026-08-20T09:00:00Z
2024-04-01,5583.09,248.02,5335.07,60,78,8692.21,123,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-04-02,6141.57,274.41,5867.16,66,88,5867.16,82,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-04-03,6313.48,260.43,6053.06,68,90,6053.06,85,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-04-04,6362.20,272.99,6089.21,69,90,6089.21,86,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-04-05,6649.79,234.09,6415.69,74,99,6415.69,94,0.00,0.0180,none,2026-08-20T09:00:00Z
2024-04-06,6777.35,219.20,6558.15,72,92,5312.74,74,1245.41,0.0180,none,2026-08-20T09:00:00Z
2024-04-07,6139.34,215.87,5923.47,66,86,4058.21,57,3110.68,0.0180,none,2026-08-20T09:00:00Z
