activity_date,total_marketing_spend_usd,paid_search_spend_usd,paid_social_spend_usd,retargeting_spend_usd,email_spend_usd,affiliate_revenue_usd,stockout_rate,event_name,driver_plan_method
2026-09-20,1351.06,628.14,439.13,226.40,57.39,1954.82,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-21,1386.81,653.35,452.42,221.09,59.95,2113.83,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-22,1422.30,655.66,468.10,233.68,64.86,2076.69,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-23,1394.34,644.23,459.93,232.41,57.77,1840.86,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-24,1380.11,638.10,449.74,234.70,57.57,2067.25,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-25,1429.53,646.30,477.58,242.62,63.03,1982.78,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-26,1521.16,685.56,522.71,245.56,67.33,1866.34,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-27,1384.63,600.45,481.05,242.36,60.77,1885.99,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-28,1454.33,656.36,517.16,217.88,62.93,1894.94,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-29,1454.01,694.09,477.38,222.60,59.94,2249.54,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-30,1475.11,671.65,518.67,225.36,59.43,2001.13,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-01,1417.93,672.29,466.19,217.52,61.93,2035.09,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-02,1434.38,651.37,496.75,221.32,64.94,1942.78,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-03,1422.02,616.23,498.73,246.60,60.46,2132.82,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-04,1451.57,676.08,484.55,225.50,65.44,1945.33,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-05,1479.28,671.87,520.38,226.13,60.90,2122.39,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-06,1496.03,692.84,512.23,223.43,67.53,1941.94,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-07,1540.76,696.38,533.71,247.99,62.68,2211.95,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-08,1495.23,701.41,493.11,236.00,64.71,2165.14,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-09,1478.96,696.19,482.69,237.99,62.09,1976.65,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-10,1443.57,637.03,486.95,249.78,69.81,1947.09,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-11,1508.87,707.94,500.26,234.89,65.78,2218.87,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-12,1490.32,699.93,494.12,228.64,67.63,1827.70,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-13,1703.90,793.84,571.39,270.49,68.18,2310.78,0.0360,none,52_week_pattern_with_recent_pacing
2026-10-14,1620.05,712.19,580.51,256.02,71.33,2382.27,0.0360,monthly_promotion,52_week_pattern_with_recent_pacing
2026-10-15,1751.27,801.89,610.36,269.03,69.99,2401.88,0.0360,monthly_promotion,52_week_pattern_with_recent_pacing
2026-10-16,1455.87,639.85,507.33,240.36,68.33,2134.25,0.0180,monthly_promotion,52_week_pattern_with_recent_pacing
2026-10-17,1491.90,695.25,507.07,227.00,62.58,1963.53,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-18,1537.85,698.01,536.35,240.67,62.82,2211.87,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-19,1469.76,672.70,491.12,235.97,69.97,1984.87,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-20,1417.75,626.40,505.36,224.69,61.30,2184.65,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-21,1486.48,677.89,501.98,237.76,68.85,1921.73,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-22,1549.30,692.21,538.18,249.42,69.49,2085.90,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-23,1525.91,716.80,483.72,260.12,65.27,2012.14,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-24,1447.81,634.37,515.58,231.55,66.31,2085.39,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-25,1564.09,723.95,515.17,262.40,62.57,2160.99,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-26,1462.42,647.62,518.40,230.36,66.04,1981.17,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-27,1530.62,732.32,480.03,254.71,63.56,2204.56,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-28,1522.77,726.41,499.94,227.62,68.80,1977.96,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-29,1511.30,704.31,485.80,249.89,71.30,2205.34,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-30,1581.27,731.07,526.70,251.75,71.75,2043.10,0.0180,none,52_week_pattern_with_recent_pacing
2026-10-31,1511.04,693.05,516.03,235.49,66.47,2052.11,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-01,1531.23,669.48,557.85,232.38,71.52,2091.71,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-02,1515.07,697.41,492.09,257.81,67.76,2145.67,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-03,1483.11,675.99,509.07,234.10,63.95,1994.84,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-04,1474.33,651.75,508.19,245.02,69.37,2068.34,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-05,1541.59,714.89,497.55,256.57,72.58,2272.07,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-06,1434.89,639.27,493.83,238.49,63.30,2117.17,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-07,1604.42,724.27,559.32,248.14,72.69,2220.83,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-08,1571.45,723.29,546.49,230.90,70.77,2043.24,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-09,1544.99,695.37,527.17,251.20,71.25,2091.78,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-10,1555.08,716.24,510.69,258.48,69.67,2347.36,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-11,1507.84,702.22,496.01,245.03,64.58,2016.05,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-12,1554.08,730.63,504.86,251.15,67.44,2276.57,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-13,1774.86,840.42,573.05,290.87,70.52,2434.08,0.0360,none,52_week_pattern_with_recent_pacing
2026-11-14,1765.71,779.03,600.89,308.93,76.86,2485.22,0.0360,monthly_promotion,52_week_pattern_with_recent_pacing
2026-11-15,1806.16,807.01,627.32,302.78,69.05,2547.21,0.0360,monthly_promotion,52_week_pattern_with_recent_pacing
2026-11-16,1556.61,708.49,542.78,236.18,69.16,2146.35,0.0180,monthly_promotion,52_week_pattern_with_recent_pacing
2026-11-17,1481.60,689.42,490.51,237.62,64.05,2116.82,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-18,1589.06,736.96,522.28,260.83,68.99,2323.28,0.0180,none,52_week_pattern_with_recent_pacing
2026-11-19,2227.79,999.62,783.82,358.25,86.10,2821.86,0.0730,none,52_week_pattern_with_recent_pacing
