scenario_id,scenario_label,forecast_date,horizon_day,target,baseline_model,scenario_method,forecast,lower_bound,upper_bound,delta_vs_base_usd,planned_marketing_spend_usd,planned_affiliate_revenue_usd,planned_stockout_rate,planned_event,fulfillment_capacity_multiplier
base_plan,Base plan,2026-09-13,24,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9995.09,9718.06,10272.12,0.0,1571.60,2146.86,0.0360,none,1.0
base_plan,Base plan,2026-09-13,24,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4693.25,3511.51,5874.99,0.0,1571.60,2146.86,0.0360,none,1.0
base_plan,Base plan,2026-09-14,25,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9612.05,9334.52,9889.57,0.0,1579.39,2278.22,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-09-14,25,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12071.46,10887.61,13255.31,0.0,1579.39,2278.22,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-09-15,26,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9651.79,9373.77,9929.81,0.0,1518.56,2168.57,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-09-15,26,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12074.57,10888.62,13260.52,0.0,1518.56,2168.57,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-09-16,27,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9189.34,8910.83,9467.85,0.0,1405.51,1958.36,0.0180,monthly_promotion,1.0
base_plan,Base plan,2026-09-16,27,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9151.91,7963.86,10339.96,0.0,1405.51,1958.36,0.0180,monthly_promotion,1.0
base_plan,Base plan,2026-09-17,28,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9277.56,8998.55,9556.56,0.0,1426.82,1859.64,0.0180,none,1.0
base_plan,Base plan,2026-09-17,28,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8717.82,7527.67,9907.97,0.0,1426.82,1859.64,0.0180,none,1.0
base_plan,Base plan,2026-09-18,29,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9605.8,9326.31,9885.29,0.0,1364.41,1885.68,0.0180,none,1.0
base_plan,Base plan,2026-09-18,29,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8980.18,7787.94,10172.42,0.0,1364.41,1885.68,0.0180,none,1.0
base_plan,Base plan,2026-09-19,30,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10051.02,9771.04,10331.0,0.0,1383.09,2046.15,0.0180,none,1.0
base_plan,Base plan,2026-09-19,30,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6155.42,4961.09,7349.75,0.0,1383.09,2046.15,0.0180,none,1.0
base_plan,Base plan,2026-09-20,31,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8964.57,8684.1,9245.04,0.0,1351.06,1954.82,0.0180,none,1.0
base_plan,Base plan,2026-09-20,31,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4701.72,3505.31,5898.13,0.0,1351.06,1954.82,0.0180,none,1.0
base_plan,Base plan,2026-09-21,32,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8638.73,8357.77,8919.69,0.0,1386.81,2113.83,0.0180,none,1.0
base_plan,Base plan,2026-09-21,32,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12093.24,10894.75,13291.73,0.0,1386.81,2113.83,0.0180,none,1.0
base_plan,Base plan,2026-09-22,33,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9054.92,8773.47,9336.36,0.0,1422.30,2076.69,0.0180,none,1.0
base_plan,Base plan,2026-09-22,33,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9971.55,8770.98,11172.12,0.0,1422.30,2076.69,0.0180,none,1.0
base_plan,Base plan,2026-09-23,34,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9034.29,8752.35,9316.22,0.0,1394.34,1840.86,0.0180,none,1.0
base_plan,Base plan,2026-09-23,34,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8196.41,6993.76,9399.06,0.0,1394.34,1840.86,0.0180,none,1.0
base_plan,Base plan,2026-09-24,35,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9375.86,9093.44,9658.28,0.0,1380.11,2067.25,0.0180,none,1.0
base_plan,Base plan,2026-09-24,35,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8820.09,7615.37,10024.81,0.0,1380.11,2067.25,0.0180,none,1.0
base_plan,Base plan,2026-09-25,36,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9956.04,9673.14,10238.94,0.0,1429.53,1982.78,0.0180,none,1.0
base_plan,Base plan,2026-09-25,36,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9426.36,8219.58,10633.14,0.0,1429.53,1982.78,0.0180,none,1.0
base_plan,Base plan,2026-09-26,37,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10370.68,10087.29,10654.06,0.0,1521.16,1866.34,0.0180,none,1.0
base_plan,Base plan,2026-09-26,37,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6166.51,4957.66,7375.36,0.0,1521.16,1866.34,0.0180,none,1.0
base_plan,Base plan,2026-09-27,38,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9055.4,8771.53,9339.27,0.0,1384.63,1885.99,0.0180,none,1.0
base_plan,Base plan,2026-09-27,38,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4710.18,3499.27,5921.09,0.0,1384.63,1885.99,0.0180,none,1.0
base_plan,Base plan,2026-09-28,39,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8694.94,8410.59,8979.29,0.0,1454.33,1894.94,0.0180,none,1.0
base_plan,Base plan,2026-09-28,39,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12115.01,10902.05,13327.97,0.0,1454.33,1894.94,0.0180,none,1.0
base_plan,Base plan,2026-09-29,40,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9368.79,9083.96,9653.62,0.0,1454.01,2249.54,0.0180,none,1.0
base_plan,Base plan,2026-09-29,40,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,11309.68,10094.66,12524.7,0.0,1454.01,2249.54,0.0180,none,1.0
base_plan,Base plan,2026-09-30,41,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9492.55,9207.23,9777.86,0.0,1475.11,2001.13,0.0180,none,1.0
base_plan,Base plan,2026-09-30,41,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8635.63,7418.56,9852.7,0.0,1475.11,2001.13,0.0180,none,1.0
base_plan,Base plan,2026-10-01,42,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9513.41,9227.62,9799.2,0.0,1417.93,2035.09,0.0180,none,1.0
base_plan,Base plan,2026-10-01,42,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8694.54,7475.43,9913.65,0.0,1417.93,2035.09,0.0180,none,1.0
base_plan,Base plan,2026-10-02,43,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9980.3,9694.03,10266.57,0.0,1434.38,1942.78,0.0180,none,1.0
base_plan,Base plan,2026-10-02,43,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9410.59,8189.43,10631.75,0.0,1434.38,1942.78,0.0180,none,1.0
base_plan,Base plan,2026-10-03,44,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10353.57,10066.82,10640.32,0.0,1422.02,2132.82,0.0180,none,1.0
base_plan,Base plan,2026-10-03,44,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6177.6,4954.4,7400.8,0.0,1422.02,2132.82,0.0180,none,1.0
base_plan,Base plan,2026-10-04,45,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9371.6,9084.37,9658.82,0.0,1451.57,1945.33,0.0180,none,1.0
base_plan,Base plan,2026-10-04,45,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4718.65,3493.42,5943.88,0.0,1451.57,1945.33,0.0180,none,1.0
base_plan,Base plan,2026-10-05,46,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9036.31,8748.61,9324.01,0.0,1479.28,2122.39,0.0180,none,1.0
base_plan,Base plan,2026-10-05,46,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12136.78,10909.52,13364.04,0.0,1479.28,2122.39,0.0180,none,1.0
base_plan,Base plan,2026-10-06,47,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9255.39,8967.21,9543.57,0.0,1496.03,1941.94,0.0180,none,1.0
base_plan,Base plan,2026-10-06,47,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12139.89,10910.6,13369.18,0.0,1496.03,1941.94,0.0180,none,1.0
base_plan,Base plan,2026-10-07,48,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9947.14,9658.48,10235.79,0.0,1540.76,2211.95,0.0180,none,1.0
base_plan,Base plan,2026-10-07,48,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8930.08,7698.76,10161.4,0.0,1540.76,2211.95,0.0180,none,1.0
base_plan,Base plan,2026-10-08,49,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9927.89,9638.76,10217.01,0.0,1495.23,2165.14,0.0180,none,1.0
base_plan,Base plan,2026-10-08,49,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9054.68,7821.34,10288.02,0.0,1495.23,2165.14,0.0180,none,1.0
base_plan,Base plan,2026-10-09,50,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10198.19,9908.59,10487.79,0.0,1478.96,1976.65,0.0180,none,1.0
base_plan,Base plan,2026-10-09,50,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9747.5,8512.14,10982.86,0.0,1478.96,1976.65,0.0180,none,1.0
base_plan,Base plan,2026-10-10,51,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10288.47,9998.4,10578.55,0.0,1443.57,1947.09,0.0180,none,1.0
base_plan,Base plan,2026-10-10,51,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6188.69,4951.31,7426.07,0.0,1443.57,1947.09,0.0180,none,1.0
base_plan,Base plan,2026-10-11,52,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9856.93,9566.38,10147.47,0.0,1508.87,2218.87,0.0180,none,1.0
base_plan,Base plan,2026-10-11,52,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4727.12,3487.73,5966.51,0.0,1508.87,2218.87,0.0180,none,1.0
base_plan,Base plan,2026-10-12,53,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8832.85,8541.83,9123.87,0.0,1490.32,1827.70,0.0180,none,1.0
base_plan,Base plan,2026-10-12,53,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12158.55,10917.15,13399.95,0.0,1490.32,1827.70,0.0180,none,1.0
base_plan,Base plan,2026-10-13,54,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10505.97,10214.48,10797.45,0.0,1703.90,2310.78,0.0360,none,1.0
base_plan,Base plan,2026-10-13,54,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12161.66,10918.25,13405.07,0.0,1703.90,2310.78,0.0360,none,1.0
base_plan,Base plan,2026-10-14,55,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10655.53,10363.57,10947.49,0.0,1620.05,2382.27,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-10-14,55,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,10965.4,9719.99,12210.81,0.0,1620.05,2382.27,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-10-15,56,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,11263.7,10971.28,11556.13,0.0,1751.27,2401.88,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-10-15,56,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,10317.85,9070.44,11565.26,0.0,1751.27,2401.88,0.0360,monthly_promotion,1.0
base_plan,Base plan,2026-10-16,57,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10371.47,10078.57,10664.36,0.0,1455.87,2134.25,0.0180,monthly_promotion,1.0
base_plan,Base plan,2026-10-16,57,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9398.73,8149.32,10648.14,0.0,1455.87,2134.25,0.0180,monthly_promotion,1.0
base_plan,Base plan,2026-10-17,58,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10497.0,10203.64,10790.36,0.0,1491.90,1963.53,0.0180,none,1.0
base_plan,Base plan,2026-10-17,58,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6199.78,4948.38,7451.18,0.0,1491.90,1963.53,0.0180,none,1.0
base_plan,Base plan,2026-10-18,59,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9980.67,9686.85,10274.5,0.0,1537.85,2211.87,0.0180,none,1.0
base_plan,Base plan,2026-10-18,59,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4735.58,3482.19,5988.97,0.0,1537.85,2211.87,0.0180,none,1.0
base_plan,Base plan,2026-10-19,60,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8953.74,8659.45,9248.03,0.0,1469.76,1984.87,0.0180,none,1.0
base_plan,Base plan,2026-10-19,60,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12180.33,10924.95,13435.71,0.0,1469.76,1984.87,0.0180,none,1.0
base_plan,Base plan,2026-10-20,61,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9313.39,9018.64,9608.15,0.0,1417.75,2184.65,0.0180,none,1.0
base_plan,Base plan,2026-10-20,61,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12183.44,10926.08,13440.8,0.0,1417.75,2184.65,0.0180,none,1.0
base_plan,Base plan,2026-10-21,62,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9573.77,9278.55,9868.99,0.0,1486.48,1921.73,0.0180,none,1.0
base_plan,Base plan,2026-10-21,62,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9233.25,7973.91,10492.59,0.0,1486.48,1921.73,0.0180,none,1.0
base_plan,Base plan,2026-10-22,63,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10100.13,9804.45,10395.82,0.0,1549.30,2085.90,0.0180,none,1.0
base_plan,Base plan,2026-10-22,63,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9091.91,7830.59,10353.23,0.0,1549.30,2085.90,0.0180,none,1.0
base_plan,Base plan,2026-10-23,64,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10455.48,10159.33,10751.62,0.0,1525.91,2012.14,0.0180,none,1.0
base_plan,Base plan,2026-10-23,64,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9886.55,8623.26,11149.84,0.0,1525.91,2012.14,0.0180,none,1.0
base_plan,Base plan,2026-10-24,65,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10505.69,10209.08,10802.3,0.0,1447.81,2085.39,0.0180,none,1.0
base_plan,Base plan,2026-10-24,65,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6210.86,4945.6,7476.12,0.0,1447.81,2085.39,0.0180,none,1.0
base_plan,Base plan,2026-10-25,66,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10049.16,9752.09,10346.23,0.0,1564.09,2160.99,0.0180,none,1.0
base_plan,Base plan,2026-10-25,66,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4744.05,3476.82,6011.28,0.0,1564.09,2160.99,0.0180,none,1.0
base_plan,Base plan,2026-10-26,67,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8959.06,8661.52,9256.59,0.0,1462.42,1981.17,0.0180,none,1.0
base_plan,Base plan,2026-10-26,67,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12202.1,10932.9,13471.3,0.0,1462.42,1981.17,0.0180,none,1.0
base_plan,Base plan,2026-10-27,68,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9724.62,9426.62,10022.61,0.0,1530.62,2204.56,0.0180,none,1.0
base_plan,Base plan,2026-10-27,68,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12205.21,10934.05,13476.37,0.0,1530.62,2204.56,0.0180,none,1.0
base_plan,Base plan,2026-10-28,69,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9774.06,9475.61,10072.51,0.0,1522.77,1977.96,0.0180,none,1.0
base_plan,Base plan,2026-10-28,69,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9602.24,8329.12,10875.36,0.0,1522.77,1977.96,0.0180,none,1.0
base_plan,Base plan,2026-10-29,70,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10122.37,9823.46,10421.28,0.0,1511.30,2205.34,0.0180,none,1.0
base_plan,Base plan,2026-10-29,70,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9144.91,7869.83,10419.99,0.0,1511.30,2205.34,0.0180,none,1.0
base_plan,Base plan,2026-10-30,71,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10691.19,10391.82,10990.56,0.0,1581.27,2043.10,0.0180,none,1.0
base_plan,Base plan,2026-10-30,71,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,10240.1,8963.07,11517.13,0.0,1581.27,2043.10,0.0180,none,1.0
base_plan,Base plan,2026-10-31,72,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,10704.71,10404.89,11004.54,0.0,1511.04,2052.11,0.0180,none,1.0
base_plan,Base plan,2026-10-31,72,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6221.95,4942.97,7500.93,0.0,1511.04,2052.11,0.0180,none,1.0
base_plan,Base plan,2026-11-01,73,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9906.09,9605.81,10206.37,0.0,1531.23,2091.71,0.0180,none,1.0
base_plan,Base plan,2026-11-01,73,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4752.52,3471.59,6033.45,0.0,1531.23,2091.71,0.0180,none,1.0
base_plan,Base plan,2026-11-02,74,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9310.81,9010.07,9611.55,0.0,1515.07,2145.67,0.0180,none,1.0
base_plan,Base plan,2026-11-02,74,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12223.87,10941.0,13506.74,0.0,1515.07,2145.67,0.0180,none,1.0
