forecast_date,horizon_day,target,model,forecast,lower_bound,upper_bound,planned_marketing_spend_usd,planned_affiliate_revenue_usd,planned_stockout_rate,planned_event
2026-09-17,28,net_revenue_usd,driver_regression,9277.56,8998.55,9556.56,1426.82,1859.64,0.0180,none
2026-09-18,29,net_revenue_usd,driver_regression,9605.8,9326.31,9885.29,1364.41,1885.68,0.0180,none
2026-09-19,30,net_revenue_usd,driver_regression,10051.02,9771.04,10331.0,1383.09,2046.15,0.0180,none
2026-09-20,31,net_revenue_usd,driver_regression,8964.57,8684.1,9245.04,1351.06,1954.82,0.0180,none
2026-09-21,32,net_revenue_usd,driver_regression,8638.73,8357.77,8919.69,1386.81,2113.83,0.0180,none
2026-09-22,33,net_revenue_usd,driver_regression,9054.92,8773.47,9336.36,1422.30,2076.69,0.0180,none
2026-09-23,34,net_revenue_usd,driver_regression,9034.29,8752.35,9316.22,1394.34,1840.86,0.0180,none
2026-09-24,35,net_revenue_usd,driver_regression,9375.86,9093.44,9658.28,1380.11,2067.25,0.0180,none
2026-09-25,36,net_revenue_usd,driver_regression,9956.04,9673.14,10238.94,1429.53,1982.78,0.0180,none
2026-09-26,37,net_revenue_usd,driver_regression,10370.68,10087.29,10654.06,1521.16,1866.34,0.0180,none
2026-09-27,38,net_revenue_usd,driver_regression,9055.4,8771.53,9339.27,1384.63,1885.99,0.0180,none
2026-09-28,39,net_revenue_usd,driver_regression,8694.94,8410.59,8979.29,1454.33,1894.94,0.0180,none
2026-09-29,40,net_revenue_usd,driver_regression,9368.79,9083.96,9653.62,1454.01,2249.54,0.0180,none
2026-09-30,41,net_revenue_usd,driver_regression,9492.55,9207.23,9777.86,1475.11,2001.13,0.0180,none
2026-10-01,42,net_revenue_usd,driver_regression,9513.41,9227.62,9799.2,1417.93,2035.09,0.0180,none
2026-10-02,43,net_revenue_usd,driver_regression,9980.3,9694.03,10266.57,1434.38,1942.78,0.0180,none
2026-10-03,44,net_revenue_usd,driver_regression,10353.57,10066.82,10640.32,1422.02,2132.82,0.0180,none
2026-10-04,45,net_revenue_usd,driver_regression,9371.6,9084.37,9658.82,1451.57,1945.33,0.0180,none
2026-10-05,46,net_revenue_usd,driver_regression,9036.31,8748.61,9324.01,1479.28,2122.39,0.0180,none
2026-10-06,47,net_revenue_usd,driver_regression,9255.39,8967.21,9543.57,1496.03,1941.94,0.0180,none
2026-10-07,48,net_revenue_usd,driver_regression,9947.14,9658.48,10235.79,1540.76,2211.95,0.0180,none
2026-10-08,49,net_revenue_usd,driver_regression,9927.89,9638.76,10217.01,1495.23,2165.14,0.0180,none
2026-10-09,50,net_revenue_usd,driver_regression,10198.19,9908.59,10487.79,1478.96,1976.65,0.0180,none
2026-10-10,51,net_revenue_usd,driver_regression,10288.47,9998.4,10578.55,1443.57,1947.09,0.0180,none
2026-10-11,52,net_revenue_usd,driver_regression,9856.93,9566.38,10147.47,1508.87,2218.87,0.0180,none
2026-10-12,53,net_revenue_usd,driver_regression,8832.85,8541.83,9123.87,1490.32,1827.70,0.0180,none
2026-10-13,54,net_revenue_usd,driver_regression,10505.97,10214.48,10797.45,1703.90,2310.78,0.0360,none
2026-10-14,55,net_revenue_usd,driver_regression,10655.53,10363.57,10947.49,1620.05,2382.27,0.0360,monthly_promotion
2026-10-15,56,net_revenue_usd,driver_regression,11263.7,10971.28,11556.13,1751.27,2401.88,0.0360,monthly_promotion
2026-10-16,57,net_revenue_usd,driver_regression,10371.47,10078.57,10664.36,1455.87,2134.25,0.0180,monthly_promotion
2026-10-17,58,net_revenue_usd,driver_regression,10497.0,10203.64,10790.36,1491.90,1963.53,0.0180,none
2026-10-18,59,net_revenue_usd,driver_regression,9980.67,9686.85,10274.5,1537.85,2211.87,0.0180,none
2026-10-19,60,net_revenue_usd,driver_regression,8953.74,8659.45,9248.03,1469.76,1984.87,0.0180,none
2026-10-20,61,net_revenue_usd,driver_regression,9313.39,9018.64,9608.15,1417.75,2184.65,0.0180,none
2026-10-21,62,net_revenue_usd,driver_regression,9573.77,9278.55,9868.99,1486.48,1921.73,0.0180,none
2026-10-22,63,net_revenue_usd,driver_regression,10100.13,9804.45,10395.82,1549.30,2085.90,0.0180,none
2026-10-23,64,net_revenue_usd,driver_regression,10455.48,10159.33,10751.62,1525.91,2012.14,0.0180,none
2026-10-24,65,net_revenue_usd,driver_regression,10505.69,10209.08,10802.3,1447.81,2085.39,0.0180,none
2026-10-25,66,net_revenue_usd,driver_regression,10049.16,9752.09,10346.23,1564.09,2160.99,0.0180,none
2026-10-26,67,net_revenue_usd,driver_regression,8959.06,8661.52,9256.59,1462.42,1981.17,0.0180,none
2026-10-27,68,net_revenue_usd,driver_regression,9724.62,9426.62,10022.61,1530.62,2204.56,0.0180,none
2026-10-28,69,net_revenue_usd,driver_regression,9774.06,9475.61,10072.51,1522.77,1977.96,0.0180,none
2026-10-29,70,net_revenue_usd,driver_regression,10122.37,9823.46,10421.28,1511.30,2205.34,0.0180,none
2026-10-30,71,net_revenue_usd,driver_regression,10691.19,10391.82,10990.56,1581.27,2043.10,0.0180,none
2026-10-31,72,net_revenue_usd,driver_regression,10704.71,10404.89,11004.54,1511.04,2052.11,0.0180,none
2026-11-01,73,net_revenue_usd,driver_regression,9906.09,9605.81,10206.37,1531.23,2091.71,0.0180,none
2026-11-02,74,net_revenue_usd,driver_regression,9310.81,9010.07,9611.55,1515.07,2145.67,0.0180,none
2026-11-03,75,net_revenue_usd,driver_regression,9399.63,9098.43,9700.82,1483.11,1994.84,0.0180,none
2026-11-04,76,net_revenue_usd,driver_regression,9730.7,9429.05,10032.34,1474.33,2068.34,0.0180,none
2026-11-05,77,net_revenue_usd,driver_regression,10307.34,10005.24,10609.44,1541.59,2272.07,0.0180,none
2026-11-06,78,net_revenue_usd,driver_regression,10317.73,10015.17,10620.28,1434.89,2117.17,0.0180,none
2026-11-07,79,net_revenue_usd,driver_regression,11186.71,10883.7,11489.71,1604.42,2220.83,0.0180,none
2026-11-08,80,net_revenue_usd,driver_regression,10010.84,9707.38,10314.3,1571.45,2043.24,0.0180,none
2026-11-09,81,net_revenue_usd,driver_regression,9376.68,9072.77,9680.59,1544.99,2091.78,0.0180,none
2026-11-10,82,net_revenue_usd,driver_regression,9985.55,9681.19,10289.91,1555.08,2347.36,0.0180,none
2026-11-11,83,net_revenue_usd,driver_regression,9807.93,9503.11,10112.74,1507.84,2016.05,0.0180,none
2026-11-12,84,net_revenue_usd,driver_regression,10370.57,10065.31,10675.83,1554.08,2276.57,0.0180,none
2026-11-13,85,net_revenue_usd,driver_regression,11918.4,11612.69,12224.11,1774.86,2434.08,0.0360,none
2026-11-14,86,net_revenue_usd,driver_regression,12223.69,11917.53,12529.84,1765.71,2485.22,0.0360,monthly_promotion
2026-11-15,87,net_revenue_usd,driver_regression,11509.46,11202.86,11816.07,1806.16,2547.21,0.0360,monthly_promotion
2026-11-16,88,net_revenue_usd,driver_regression,9539.54,9232.49,9846.59,1556.61,2146.35,0.0180,monthly_promotion
2026-11-17,89,net_revenue_usd,driver_regression,9546.33,9238.84,9853.83,1481.60,2116.82,0.0180,none
2026-11-18,90,net_revenue_usd,driver_regression,10373.67,10065.73,10681.6,1589.06,2323.28,0.0180,none
2026-11-19,91,net_revenue_usd,driver_regression,13649.96,13341.58,13958.35,2227.79,2821.86,0.0730,none
2026-08-21,1,shipped_revenue_usd,seasonal_naive,8417.7,7285.51,9549.89,1312.44,1777.08,0.0180,none
2026-08-22,2,shipped_revenue_usd,seasonal_naive,6111.07,4976.68,7245.46,1227.40,1638.16,0.0180,none
2026-08-23,3,shipped_revenue_usd,seasonal_naive,4667.85,3531.27,5804.43,1253.76,1866.79,0.0180,none
2026-08-24,4,shipped_revenue_usd,seasonal_naive,11897.25,10758.47,13036.03,1274.78,1746.26,0.0180,none
2026-08-25,5,shipped_revenue_usd,seasonal_naive,7419.1,6278.14,8560.06,1330.29,1716.95,0.0180,none
2026-08-26,6,shipped_revenue_usd,seasonal_naive,7661.6,6518.46,8804.74,1317.71,1738.24,0.0180,none
2026-08-27,7,shipped_revenue_usd,seasonal_naive,7972.74,6827.42,9118.06,1283.03,1889.19,0.0180,none
2026-08-28,8,shipped_revenue_usd,seasonal_naive,8347.01,7199.51,9494.51,1336.80,1750.14,0.0180,none
2026-08-29,9,shipped_revenue_usd,seasonal_naive,6122.16,4972.49,7271.83,1282.47,1674.50,0.0180,none
2026-08-30,10,shipped_revenue_usd,seasonal_naive,4676.31,3524.48,5828.14,1315.31,1773.24,0.0180,none
2026-08-31,11,shipped_revenue_usd,seasonal_naive,12027.92,10873.93,13181.91,1298.41,1853.31,0.0180,none
2026-09-01,12,shipped_revenue_usd,seasonal_naive,8599.72,7443.57,9755.87,1311.68,1876.30,0.0180,none
2026-09-02,13,shipped_revenue_usd,seasonal_naive,7779.14,6620.83,8937.45,1284.42,1790.93,0.0180,none
2026-09-03,14,shipped_revenue_usd,seasonal_naive,7969.26,6808.8,9129.72,1298.05,1647.28,0.0180,none
2026-09-04,15,shipped_revenue_usd,seasonal_naive,8474.31,7311.71,9636.91,1291.35,1960.72,0.0180,none
2026-09-05,16,shipped_revenue_usd,seasonal_naive,6133.25,4968.51,7297.99,1314.53,1783.22,0.0180,none
2026-09-06,17,shipped_revenue_usd,seasonal_naive,4684.78,3517.9,5851.66,1339.28,1968.49,0.0180,none
2026-09-07,18,shipped_revenue_usd,seasonal_naive,12049.69,10880.67,13218.71,1309.05,1865.93,0.0180,none
2026-09-08,19,shipped_revenue_usd,seasonal_naive,9360.76,8189.61,10531.91,1323.28,2097.71,0.0180,none
2026-09-09,20,shipped_revenue_usd,seasonal_naive,8196.44,7023.17,9369.71,1343.78,1879.05,0.0180,none
2026-09-10,21,shipped_revenue_usd,seasonal_naive,8139.23,6963.83,9314.63,1349.86,1788.07,0.0180,none
2026-09-11,22,shipped_revenue_usd,seasonal_naive,9055.06,7877.55,10232.57,1314.31,1971.59,0.0180,none
2026-09-12,23,shipped_revenue_usd,seasonal_naive,6144.34,4964.71,7323.97,1364.50,1977.53,0.0180,none
2026-09-13,24,shipped_revenue_usd,seasonal_naive,4693.25,3511.51,5874.99,1571.60,2146.86,0.0360,none
2026-09-14,25,shipped_revenue_usd,seasonal_naive,12071.46,10887.61,13255.31,1579.39,2278.22,0.0360,monthly_promotion
2026-09-15,26,shipped_revenue_usd,seasonal_naive,12074.57,10888.62,13260.52,1518.56,2168.57,0.0360,monthly_promotion
2026-09-16,27,shipped_revenue_usd,seasonal_naive,9151.91,7963.86,10339.96,1405.51,1958.36,0.0180,monthly_promotion
2026-09-17,28,shipped_revenue_usd,seasonal_naive,8717.82,7527.67,9907.97,1426.82,1859.64,0.0180,none
2026-09-18,29,shipped_revenue_usd,seasonal_naive,8980.18,7787.94,10172.42,1364.41,1885.68,0.0180,none
2026-09-19,30,shipped_revenue_usd,seasonal_naive,6155.42,4961.09,7349.75,1383.09,2046.15,0.0180,none
2026-09-20,31,shipped_revenue_usd,seasonal_naive,4701.72,3505.31,5898.13,1351.06,1954.82,0.0180,none
2026-09-21,32,shipped_revenue_usd,seasonal_naive,12093.24,10894.75,13291.73,1386.81,2113.83,0.0180,none
2026-09-22,33,shipped_revenue_usd,seasonal_naive,9971.55,8770.98,11172.12,1422.30,2076.69,0.0180,none
2026-09-23,34,shipped_revenue_usd,seasonal_naive,8196.41,6993.76,9399.06,1394.34,1840.86,0.0180,none
2026-09-24,35,shipped_revenue_usd,seasonal_naive,8820.09,7615.37,10024.81,1380.11,2067.25,0.0180,none
2026-09-25,36,shipped_revenue_usd,seasonal_naive,9426.36,8219.58,10633.14,1429.53,1982.78,0.0180,none
2026-09-26,37,shipped_revenue_usd,seasonal_naive,6166.51,4957.66,7375.36,1521.16,1866.34,0.0180,none
2026-09-27,38,shipped_revenue_usd,seasonal_naive,4710.18,3499.27,5921.09,1384.63,1885.99,0.0180,none
2026-09-28,39,shipped_revenue_usd,seasonal_naive,12115.01,10902.05,13327.97,1454.33,1894.94,0.0180,none
2026-09-29,40,shipped_revenue_usd,seasonal_naive,11309.68,10094.66,12524.7,1454.01,2249.54,0.0180,none
2026-09-30,41,shipped_revenue_usd,seasonal_naive,8635.63,7418.56,9852.7,1475.11,2001.13,0.0180,none
2026-10-01,42,shipped_revenue_usd,seasonal_naive,8694.54,7475.43,9913.65,1417.93,2035.09,0.0180,none
2026-10-02,43,shipped_revenue_usd,seasonal_naive,9410.59,8189.43,10631.75,1434.38,1942.78,0.0180,none
2026-10-03,44,shipped_revenue_usd,seasonal_naive,6177.6,4954.4,7400.8,1422.02,2132.82,0.0180,none
2026-10-04,45,shipped_revenue_usd,seasonal_naive,4718.65,3493.42,5943.88,1451.57,1945.33,0.0180,none
2026-10-05,46,shipped_revenue_usd,seasonal_naive,12136.78,10909.52,13364.04,1479.28,2122.39,0.0180,none
2026-10-06,47,shipped_revenue_usd,seasonal_naive,12139.89,10910.6,13369.18,1496.03,1941.94,0.0180,none
2026-10-07,48,shipped_revenue_usd,seasonal_naive,8930.08,7698.76,10161.4,1540.76,2211.95,0.0180,none
2026-10-08,49,shipped_revenue_usd,seasonal_naive,9054.68,7821.34,10288.02,1495.23,2165.14,0.0180,none
2026-10-09,50,shipped_revenue_usd,seasonal_naive,9747.5,8512.14,10982.86,1478.96,1976.65,0.0180,none
2026-10-10,51,shipped_revenue_usd,seasonal_naive,6188.69,4951.31,7426.07,1443.57,1947.09,0.0180,none
2026-10-11,52,shipped_revenue_usd,seasonal_naive,4727.12,3487.73,5966.51,1508.87,2218.87,0.0180,none
2026-10-12,53,shipped_revenue_usd,seasonal_naive,12158.55,10917.15,13399.95,1490.32,1827.70,0.0180,none
2026-10-13,54,shipped_revenue_usd,seasonal_naive,12161.66,10918.25,13405.07,1703.90,2310.78,0.0360,none
2026-10-14,55,shipped_revenue_usd,seasonal_naive,10965.4,9719.99,12210.81,1620.05,2382.27,0.0360,monthly_promotion
2026-10-15,56,shipped_revenue_usd,seasonal_naive,10317.85,9070.44,11565.26,1751.27,2401.88,0.0360,monthly_promotion
2026-10-16,57,shipped_revenue_usd,seasonal_naive,9398.73,8149.32,10648.14,1455.87,2134.25,0.0180,monthly_promotion
2026-10-17,58,shipped_revenue_usd,seasonal_naive,6199.78,4948.38,7451.18,1491.90,1963.53,0.0180,none
2026-10-18,59,shipped_revenue_usd,seasonal_naive,4735.58,3482.19,5988.97,1537.85,2211.87,0.0180,none
2026-10-19,60,shipped_revenue_usd,seasonal_naive,12180.33,10924.95,13435.71,1469.76,1984.87,0.0180,none
2026-10-20,61,shipped_revenue_usd,seasonal_naive,12183.44,10926.08,13440.8,1417.75,2184.65,0.0180,none
2026-10-21,62,shipped_revenue_usd,seasonal_naive,9233.25,7973.91,10492.59,1486.48,1921.73,0.0180,none
2026-10-22,63,shipped_revenue_usd,seasonal_naive,9091.91,7830.59,10353.23,1549.30,2085.90,0.0180,none
2026-10-23,64,shipped_revenue_usd,seasonal_naive,9886.55,8623.26,11149.84,1525.91,2012.14,0.0180,none
2026-10-24,65,shipped_revenue_usd,seasonal_naive,6210.86,4945.6,7476.12,1447.81,2085.39,0.0180,none
2026-10-25,66,shipped_revenue_usd,seasonal_naive,4744.05,3476.82,6011.28,1564.09,2160.99,0.0180,none
2026-10-26,67,shipped_revenue_usd,seasonal_naive,12202.1,10932.9,13471.3,1462.42,1981.17,0.0180,none
2026-10-27,68,shipped_revenue_usd,seasonal_naive,12205.21,10934.05,13476.37,1530.62,2204.56,0.0180,none
2026-10-28,69,shipped_revenue_usd,seasonal_naive,9602.24,8329.12,10875.36,1522.77,1977.96,0.0180,none
2026-10-29,70,shipped_revenue_usd,seasonal_naive,9144.91,7869.83,10419.99,1511.30,2205.34,0.0180,none
2026-10-30,71,shipped_revenue_usd,seasonal_naive,10240.1,8963.07,11517.13,1581.27,2043.10,0.0180,none
2026-10-31,72,shipped_revenue_usd,seasonal_naive,6221.95,4942.97,7500.93,1511.04,2052.11,0.0180,none
2026-11-01,73,shipped_revenue_usd,seasonal_naive,4752.52,3471.59,6033.45,1531.23,2091.71,0.0180,none
2026-11-02,74,shipped_revenue_usd,seasonal_naive,12223.87,10941.0,13506.74,1515.07,2145.67,0.0180,none
2026-11-03,75,shipped_revenue_usd,seasonal_naive,12226.98,10942.17,13511.79,1483.11,1994.84,0.0180,none
2026-11-04,76,shipped_revenue_usd,seasonal_naive,9912.7,8625.95,11199.45,1474.33,2068.34,0.0180,none
2026-11-05,77,shipped_revenue_usd,seasonal_naive,9424.61,8135.92,10713.3,1541.59,2272.07,0.0180,none
2026-11-06,78,shipped_revenue_usd,seasonal_naive,9922.59,8631.97,11213.21,1434.89,2117.17,0.0180,none
2026-11-07,79,shipped_revenue_usd,seasonal_naive,6233.04,4940.49,7525.59,1604.42,2220.83,0.0180,none
2026-11-08,80,shipped_revenue_usd,seasonal_naive,4760.99,3466.51,6055.47,1571.45,2043.24,0.0180,none
2026-11-09,81,shipped_revenue_usd,seasonal_naive,12245.64,10949.24,13542.04,1544.99,2091.78,0.0180,none
2026-11-10,82,shipped_revenue_usd,seasonal_naive,12248.76,10950.44,13547.08,1555.08,2347.36,0.0180,none
2026-11-11,83,shipped_revenue_usd,seasonal_naive,10558.06,9257.82,11858.3,1507.84,2016.05,0.0180,none
2026-11-12,84,shipped_revenue_usd,seasonal_naive,9637.03,8334.87,10939.19,1554.08,2276.57,0.0180,none
2026-11-13,85,shipped_revenue_usd,seasonal_naive,11123.08,9819.01,12427.15,1774.86,2434.08,0.0360,none
2026-11-14,86,shipped_revenue_usd,seasonal_naive,6244.13,4938.15,7550.11,1765.71,2485.22,0.0360,monthly_promotion
2026-11-15,87,shipped_revenue_usd,seasonal_naive,4769.45,3461.56,6077.34,1806.16,2547.21,0.0360,monthly_promotion
2026-11-16,88,shipped_revenue_usd,seasonal_naive,12267.42,10957.63,13577.21,1556.61,2146.35,0.0180,monthly_promotion
2026-11-17,89,shipped_revenue_usd,seasonal_naive,12270.53,10958.84,13582.22,1481.60,2116.82,0.0180,none
2026-11-18,90,shipped_revenue_usd,seasonal_naive,12046.35,10732.76,13359.94,1589.06,2323.28,0.0180,none
2026-11-19,91,shipped_revenue_usd,seasonal_naive,10639.85,9324.36,11955.34,2227.79,2821.86,0.0730,none
